y2,y3,x,y,y1,y4
0,0,1648418400,9.08,,1
0,0,1648418700,9.07,,1
0,0,1648419000,8.35,,1
0,0,1648419300,8.51,,1
0,0,1648419600,8.85,,1
0,0,1648419900,8.85,,1
0,0,1648420200,8.82,,1
0,0,1648420500,8.95,,1
0,0,1648420800,8.77,,1
0,0,1648421100,8.71,,1
0,0,1648421400,8.41,,1
0,0,1648421700,8.41,,1
0,0,1648422000,8.31,,1
0,0,1648422300,8.29,,1
0,0,1648422600,8.19,,1
0,0,1648422900,8.72,,1
0,0,1648423200,8.71,,1
0,0,1648423500,8.23,,1
0,0,1648423800,8.9,,1
0,0,1648424100,8.57,,1
0,0,1648424400,8.37,,1
0,0,1648424700,8.53,,1
0,0,1648425000,8.53,,1
0,0,1648425300,8.46,,1
0,0,1648425600,8.26,,1
0,0,1648425900,8.49,,1
0,0,1648426200,8.95,,1
0,0,1648426500,8.73,,1
0,0,1648426800,8.77,,1
0,0,1648427100,8.47,,1
0,0,1648427400,8.4,,1
0,0,1648427700,8.55,,1
0,0,1648428000,8.14,,1
0,0,1648428300,8.67,,1
0,0,1648428600,8.23,,1
0,0,1648428900,8.2,,1
0,0,1648429200,8.48,,1
0,0,1648429500,8.27,,1
0,0,1648429800,8.04,,1
0,0,1648430100,8.22,,1
0,0,1648430400,8.32,,1
0,0,1648430700,8.39,,1
0,0,1648431000,8.29,,1
0,0,1648431300,8.57,,1
0,0,1648431600,8.51,,1
0,0,1648431900,8.68,,1
0,0,1648432200,8.45,,1
0,0,1648432500,8.32,,1
0,0,1648432800,8.31,,1
0,0,1648433100,8.39,,1
0,0,1648433400,8.3,,1
0,0,1648433700,8.19,,1
0,0,1648434000,8.4,,1
0,0,1648434300,7.96,,1
0,0,1648434600,7.99,,1
0,0,1648434900,8.23,,1
0,0,1648435200,8.42,,1
0,0,1648435500,8,,1
0,0,1648435800,8.43,,1
0,0,1648436100,8.12,,1
0,0,1648436400,8.26,,1
0,0,1648436700,8.21,,1
0,0,1648437000,8.49,,1
0,0,1648437300,8.3,,1
0,0,1648437600,8.16,,1
0,0,1648437900,8.5,,1
0,0,1648438200,8.21,,1
0,0,1648438500,8.17,,1
0,0,1648438800,8.26,,1
0,0,1648439100,8.16,,1
0,0,1648439400,8.75,,1
0,0,1648439700,8.57,,1
0,0,1648440000,8.71,,1
0,0,1648440300,8.74,,1
0,0,1648440600,8.42,,1
0,0,1648440900,8.59,,1
0,0,1648441200,8.39,,1
0,0,1648441500,8.47,,1
0,0,1648441800,8.36,,1
0,0,1648442100,8.67,,1
0,0,1648442400,8.57,,1
0,0,1648442700,8.33,,1
0,0,1648443000,8.47,,1
0,0,1648443300,8.45,,1
0,0,1648443600,8.15,,1
0,0,1648443900,8.54,,1
0,0,1648444200,8.7,,1
0,0,1648444500,8.47,,1
0,0,1648444800,8.55,,1
0,0,1648445100,8.79,,1
0,0,1648445400,8.64,,1
0,0,1648445700,8.62,,1
0,0,1648446000,9.19,,1
0,0,1648446300,8.69,,1
0,0,1648446600,8.61,,1
0,0,1648446900,8.9,,1
0,0,1648447200,9.07,,1
0,0,1648447500,8.78,,1
0,0,1648447800,9.22,,1
0,0,1648448100,8.85,,1
0,0,1648448400,8.99,,1
0,0,1648448700,9.09,,1
0,0,1648449000,9.17,,1
0,0,1648449300,8.83,,1
0,0,1648449600,8.82,,1
0,0,1648449900,8.41,,1
0,0,1648450200,8.7,,1
0,0,1648450500,8.91,,1
0,0,1648450800,8.98,,1
0,0,1648451100,8.58,,1
0,0,1648451400,8.88,,1
0,0,1648451700,9.17,,1
0,0,1648452000,9.21,,1
0,0,1648452300,9.3,,1
0,0,1648452600,9.24,,1
0,0,1648452900,9.51,,1
0,0,1648453200,9.37,,1
0,0,1648453500,9.32,,1
0,0,1648453800,9.3,,1
0,0,1648454100,9.65,,1
0,0,1648454400,9.79,,1
0,0,1648454700,9.89,,1
0,0,1648455000,9.97,,1
0,0,1648455300,10.04,,1
0,0,1648455600,9.73,,1
0,0,1648455900,9.61,,1
0,0,1648456200,10.29,,1
0,0,1648456500,10.13,,1
0,0,1648456800,9.59,,1
0,0,1648457100,9.8,,1
0,0,1648457400,10.22,,1
0,0,1648457700,11.14,,1
0,0,1648458000,11.33,,1
0,0,1648458300,11.43,,1
0,0,1648458600,11.12,,1
0,0,1648458900,11.06,,1
0,0,1648459200,11.01,,1
0,0,1648459500,11.06,,1
0,0,1648459800,11.1,,1
