y2,y3,x,y,y1,y4
0,0,1655071200,20.52,,1
0,0,1655071500,20.4,,1
0,0,1655071800,20.25,,1
0,0,1655072100,20.29,,1
0,0,1655072400,20.24,,1
0,0,1655072700,20.51,,1
0,0,1655073000,20.46,,1
0,0,1655073300,20.39,,1
0,0,1655073600,20.19,,1
0,0,1655073900,20.26,,1
0,0,1655074200,20.24,,1
0,0,1655074500,20.32,,1
0,0,1655074800,20.62,,1
0,0,1655075100,20.11,,1
0,0,1655075400,20.25,,1
0,0,1655075700,20.32,,1
0,0,1655076000,20.4,,1
0,0,1655076300,20.55,,1
0,0,1655076600,20.33,,1
0,0,1655076900,20.3,,1
0,0,1655077200,20.44,,1
0,0,1655077500,20.32,,1
0,0,1655077800,20.19,,1
0,0,1655078100,20.62,,1
0,0,1655078400,20.51,,1
0,0,1655078700,20.77,,1
0,0,1655079000,20.61,,1
0,0,1655079300,20.57,,1
0,0,1655079600,20.58,,1
0,0,1655079900,20.42,,1
0,0,1655080200,20.44,,1
0,0,1655080500,20.4,,1
0,0,1655080800,20.7,,1
0,0,1655081100,20.5,,1
0,0,1655081400,20.58,,1
0,0,1655081700,20.45,,1
0,0,1655082000,20.37,,1
0,0,1655082300,20.66,,1
0,0,1655082600,20.62,,1
0,0,1655082900,20.61,,1
0,0,1655083200,20.64,,1
0,0,1655083500,20.46,,1
0,0,1655083800,20.83,,1
0,0,1655084100,20.65,,1
0,0,1655084400,20.77,,1
0,0,1655084700,20.85,,1
0,0,1655085000,20.83,,1
0,0,1655085300,20.75,,1
0,0,1655085600,20.57,,1
0,0,1655085900,20.6,,1
0,0,1655086200,20.5,,1
0,0,1655086500,20.5,,1
0,0,1655086800,20.7,,1
0,0,1655087100,20.55,,1
0,0,1655087400,20.64,,1
0,0,1655087700,20.45,,1
0,0,1655088000,20.64,,1
0,0,1655088300,20.71,,1
0,0,1655088600,20.73,,1
0,0,1655088900,20.69,,1
0,0,1655089200,20.58,,1
0,0,1655089500,20.48,,1
0,0,1655089800,20.06,,1
0,0,1655090100,20.86,,1
0,0,1655090400,20.77,,1
0,0,1655090700,20.64,,1
0,0,1655091000,20.73,,1
0,0,1655091300,20.34,,1
0,0,1655091600,20.48,,1
0,0,1655091900,20.6,,1
0,0,1655092200,20.49,,1
0,0,1655092500,20.49,,1
0,0,1655092800,20.25,,1
0,0,1655093100,20.36,,1
0,0,1655093400,20.46,,1
0,0,1655093700,20.32,,1
0,0,1655094000,20.6,,1
0,0,1655094300,20.57,,1
0,0,1655094600,20.54,,1
0,0,1655094900,20.2,,1
0,0,1655095200,20.44,,1
0,0,1655095500,20.38,,1
0,0,1655095800,20.59,,1
0,0,1655096100,20.92,,1
0,0,1655096400,20.79,,1
0,0,1655096700,20.96,,1
0,0,1655097000,20.87,,1
0,0,1655097300,20.64,,1
0,0,1655097600,20.26,,1
0,0,1655097900,20.5,,1
0,0,1655098200,21.15,,1
0,0,1655098500,20.87,,1
0,0,1655098800,21.03,,1
0,0,1655099100,21.44,,1
0,0,1655099400,21.25,,1
0,0,1655099700,20.93,,1
0,0,1655100000,21.05,,1
0,0,1655100300,20.87,,1
0,0,1655100600,20.8,,1
0,0,1655100900,20.88,,1
0,0,1655101200,21.53,,1
0,0,1655101500,21.56,,1
0,0,1655101800,21.74,,1
0,0,1655102100,21.68,,1
0,0,1655102400,21.43,,1
0,0,1655102700,21.39,,1
0,0,1655103000,21.33,,1
0,0,1655103300,21.3,,1
0,0,1655103600,21.25,,1
0,0,1655103900,21.14,,1
0,0,1655104200,21.1,,1
0,0,1655104500,21.41,,1
0,0,1655104800,21.86,,1
0,0,1655105100,21.61,,1
0,0,1655105400,21.34,,1
0,0,1655105700,20.93,,1
0,0,1655106000,21,,1
0,0,1655106300,21.2,,1
0,0,1655106600,21.17,,1
0,0,1655106900,20.98,,1
0,0,1655107200,21.02,,1
0,0,1655107500,20.96,,1
0,0,1655107800,21.16,,1
0,0,1655108100,21.18,,1
0,0,1655108400,21.05,,1
0,0,1655108700,21.15,,1
0,0,1655109000,20.58,,1
0,0,1655109300,20.66,,1
0,0,1655109600,20.6,,1
0,0,1655109900,20.63,,1
0,0,1655110200,20.82,,1
0,0,1655110500,20.46,,1
0,0,1655110800,20.93,,1
0,0,1655111100,20.77,,1
0,0,1655111400,20.56,,1
0,0,1655111700,20.7,,1
0,0,1655112000,20.61,,1
0,0,1655112300,20.78,,1
0,0,1655112600,20.77,,1
0,0,1655112900,20.68,,1
0,0,1655113200,20.53,,1
0,0,1655113500,20.7,,1
0,0,1655113800,20.92,,1
0,0,1655114100,20.86,,1
0,0,1655114400,20.78,,1
0,0,1655114700,20.68,,1
0,0,1655115000,20.7,,1
0,0,1655115300,20.44,,1
0,0,1655115600,20.66,,1
0,0,1655115900,20.42,,1
