x,y,y1,air_temp,wind_speed,air_pressure,rel_humidity,sol_irr,meteo_timestamp,skin_datetime,meteo_datetime
1668868812,10.94,11.4879,6.872048554106617,2.3021944480555496,925.99041446698,75.98350969405077,19.217509107468164,1668868801.296,2022-11-19 15:40:12,2022-11-19 15:40:01.296
1668869412,10.13,11.4976,6.8517679137605825,2.753375003472225,926.0105015667923,75.301259223241,14.736906470933333,1668869401.252,2022-11-19 15:50:12,2022-11-19 15:50:01.252
1668870012,10.34,11.5039,6.870486088888892,2.6385972218055587,926.1009722222217,70.08333333333343,14.6180555555555,1668870001.256,2022-11-19 16:00:12,2022-11-19 16:00:01.256
1668870612,10.66,11.4714,6.838652828333326,2.1823194448611,926.1152777777775,69.2819444444445,14.979166666666584,1668870601.252,2022-11-19 16:10:12,2022-11-19 16:10:01.252
1668871212,10.68,11.4592,6.83297226958334,1.9766751450602584,926.15375,72.10833333333342,12.509722222222189,1668871201.32,2022-11-19 16:20:12,2022-11-19 16:20:01.320
1668871812,10.69,11.5057,6.695750039999999,1.9531527796388914,926.1529166666651,75.87361111111117,6.827777777777801,1668871801.287,2022-11-19 16:30:12,2022-11-19 16:30:01.287
1668872412,10.87,11.4618,6.546881948288608,1.7786805550000082,926.209369114879,77.3725517890771,3.382038606403009,1668872401.28,2022-11-19 16:40:12,2022-11-19 16:40:01.280
1668873012,11.05,11.5004,6.542736044722225,1.3008611086527835,926.3700000000017,77.80277777777785,1.6152777777777831,1668873001.267,2022-11-19 16:50:12,2022-11-19 16:50:01.267
1668873612,10.23,11.481,6.605249951388899,0.9762916654583359,926.4927777777766,78.24027777777759,0.7124999999999999,1668873601.261,2022-11-19 17:00:12,2022-11-19 17:00:01.261
1668874212,10.64,11.4815,6.610194409722225,0.9655277764722117,926.5686111111125,78.52083333333333,0.0,1668874201.243,2022-11-19 17:10:12,2022-11-19 17:10:01.243
1668874812,10.78,11.4737,6.549333326944443,1.1638077791095618,926.598194444446,79.83333333333324,0.0,1668874801.286,2022-11-19 17:20:12,2022-11-19 17:20:01.286
1668875412,10.32,11.4602,6.553448972832925,0.9197638889444392,926.6745411534066,80.068904942731,0.0,1668875401.281,2022-11-19 17:30:12,2022-11-19 17:30:01.281
1668876012,10.41,11.413,6.593584515555066,1.4068333304722227,926.7847652511501,81.86650651415498,0.004166666666666667,1668876001.352,2022-11-19 17:40:12,2022-11-19 17:40:01.352
1668876612,10.65,11.4254,6.3679861804166675,1.800986110972225,926.7798611111108,84.67777777777766,0.0,1668876601.41,2022-11-19 17:50:12,2022-11-19 17:50:01.410
1668877212,11.17,11.4429,5.994652792777775,2.325749995277775,926.7394444444441,85.85972222222232,0.0,1668877201.358,2022-11-19 18:00:12,2022-11-19 18:00:01.358
1668877812,11.14,11.4566,5.8735694494444415,2.0691681976429668,926.8625000000017,85.10416666666659,0.0,1668877801.414,2022-11-19 18:10:12,2022-11-19 18:10:01.414
1668878412,10.66,11.4493,5.948771869107142,0.9943634410626033,926.90111111111,85.34642857142876,0.0,1668878401.462,2022-11-19 18:20:12,2022-11-19 18:20:01.462
1668879012,10.7,11.4687,5.956055580277774,1.0905416665277758,926.9918055555557,85.48472222222216,0.0,1668879001.261,2022-11-19 18:30:12,2022-11-19 18:30:01.261
1668879612,10.63,11.4257,5.861539339701032,1.8851388894444419,927.1117796610166,85.66242937853109,0.0,1668879601.254,2022-11-19 18:40:12,2022-11-19 18:40:01.254
1668880212,11.09,11.4393,5.731986157222207,1.7260833324861167,927.1683333333332,86.25694444444441,0.0,1668880201.275,2022-11-19 18:50:12,2022-11-19 18:50:01.275
1668880812,11.29,11.4747,5.677916739583324,1.2500972183472332,927.2977777777777,87.28194444444442,0.0013888888888889167,1668880801.335,2022-11-19 19:00:12,2022-11-19 19:00:01.335
1668881412,10.69,11.4393,5.709819471944442,0.9983451031245317,927.2988888888891,86.87916666666659,0.0,1668881401.256,2022-11-19 19:10:12,2022-11-19 19:10:01.256
1668882012,11.12,11.4692,5.585680551944441,2.78230343386065,927.3838888888885,87.20138888888876,0.15833333333333277,1668882001.279,2022-11-19 19:20:12,2022-11-19 19:20:01.279
1668882612,11.51,11.4334,5.084687430567775,5.055541658472233,927.3153288336267,87.65005055416616,0.03333333333333308,1668882601.274,2022-11-19 19:30:12,2022-11-19 19:30:01.274
1668883212,11.74,11.4453,4.538513904861092,2.8614583325,927.4708333333333,86.75555555555559,0.029166666666666657,1668883201.263,2022-11-19 19:40:12,2022-11-19 19:40:01.263
1668883812,11.26,11.4217,4.178625005138884,1.2278472195277657,927.7080555555549,85.92916666666675,0.004166666666666659,1668883801.242,2022-11-19 19:50:12,2022-11-19 19:50:01.242
1668884412,11.15,11.427,4.317222205694441,0.9279722205972242,927.9045833333331,85.4611111111111,0.0,1668884401.259,2022-11-19 20:00:12,2022-11-19 20:00:01.259
1668885012,10.49,11.4206,4.3819583120833325,1.0999625674809277,927.9837499999993,86.41805555555557,0.0375,1668885001.284,2022-11-19 20:10:12,2022-11-19 20:10:01.284
1668885612,10.82,11.4362,4.450291665277784,1.3292499982916675,928.0487499999999,89.22916666666667,0.13055555555555498,1668885601.244,2022-11-19 20:20:12,2022-11-19 20:20:01.244
1668886212,11.19,11.4234,4.497155177553401,0.8796111127472191,928.0480086289393,88.87280147263141,0.023611111111110833,1668886201.269,2022-11-19 20:30:12,2022-11-19 20:30:01.269
