x,y,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,y11,y12,y13,y14,y15,y16
1670537281.233,1.2836666733333,0.8819999965,0.5,1.39,50.779756629812,920.5833333333301,88.95,0,0,0,0,0,0,0,0,0,0
1670537341.224,1.2995000116667,0.6843333356666701,0.53000003,1.0600001000000001,30.10523338641,920.5716666666699,88.433333333333,0,0,0,0,0,0,0,0,0,0
1670537401.273,1.315499985,1.2281666746667,0.65999997,1.6200001,39.983924107751996,920.5483333333301,88.766666666667,0,0,0,0,0,0,0,0,0,0
1670537461.24,1.335999965,1.4926666633333001,1.28,1.85,39.001800188687,920.58,89.666666666667,0,0,0,0,0,0,0,0,0,0
1670537521.224,1.3231665783333,1.1476666728333,0.59000003,1.7700001,58.130852612902004,920.56,88.2,0,0,0,0,0,0,0,0,0,0
1670537581.231,1.355999975,1.1314999916667,0.76,1.49,66.888165813538,920.53,89.316666666667,0.03333333333333299,0,0,0,0,0,0,0,0,0
1670537641.308,1.3024999983333,1.069999989,0.61,1.65,65.199570421058,920.49,87.65,0,0,0,0,0,0,0,0,0,0
1670537701.233,1.30833329,1.021333337,0.69,1.39,88.752683567568,920.4283333333301,88.916666666667,0,0,0,0,0,0,0,0,0,0
1670537761.232,1.3764999983333,1.2421666681667,0.88,1.5,92.01687934820801,920.4366666666699,89.116666666667,0,0,0,0,0,0,0,0,0,0
1670537821.24,1.3978333716667,1.0458333256667,0.8,1.3399999,76.304302167803,920.4316666666699,88.516666666667,0,0,0,0,0,0,0,0,0,0
1670537881.228,1.3928333633333,0.8849999948333299,0.71,1.17,62.069048891653004,920.425,87.666666666667,0,0,0,0,0,0,0,0,0,0
1670537941.231,1.3915000183333,0.68150000383333,0.37,0.91999996,83.632632073974,920.4166666666699,87.21666666666701,0,0,0,0,0,0,0,0,0,0
1670538001.266,1.42850004,0.95616666883333,0.44,1.6600001,92.052704955537,920.415,87.416666666667,0,0,0,0,0,0,0,0,0,0
1670538061.23,1.413500035,1.440666665,1,1.75,101.15053133625999,920.41,88.083333333333,0,0,0,0,0,0,0,0,0,0
1670538121.229,1.43016668,1.159666665,0.85,1.54,105.34658871039,920.3983333333301,88.95,0,0,0,0,0,0,0,0,0,0
1670538181.23,1.4418332716667,0.946499999,0.48000002,1.42,100.74003147296,920.39166666667,88.25,0,0,0,0,0,0,0,0,0,0
1670538241.302,1.43350004,0.5873333385,0.37,0.95,85.177514571253,920.36833333333,87.25,0,0,0,0,0,0,0,0,0,0
1670538301.228,1.4898333333333,0.67100000183333,0.35,1.21,91.06869913598301,920.36166666667,89.516666666667,0,0,0,0,0,0,0,0,0,0
1670538361.228,1.4901666666667,0.525166675,0.19,0.93999994,56.628664243104,920.37333333333,87.616666666667,0,0,0,0,0,0,0,0,0,0
1670538421.236,1.5468333416667,0.6911666625,0.2,1.28,53.097305998301,920.39,89,0,0,0,0,0,0,0,0,0,0
1670538481.228,1.590833265,0.76716667116667,0.42,1.13,104.82749676198,920.4166666666699,89.516666666667,0,0,0,0,0,0,0,0,0,0
1670538541.232,1.6329999766667,1.062833334,0.59000003,1.7700001,66.635347239162,920.4183333333301,89.78333333333299,0,0,0,0,0,0,0,0,0,0
1670538601.271,1.6471666716667,1.0868333283333,0.66999996,1.55,4.6379951788347,920.44,88.71666666666701,0.4,0,0,0,0,0,0,0,0,0
1670538661.23,1.6321666516667,1.6093333269999999,0.96999997,3.4599998,359.76482139325,920.41,89.616666666667,0.28333333333333,0,0,0,0,0,0,0,0,0
1670538721.228,1.560999995,1.2608333353333,0.93999994,1.95,342.03742116653,920.375,88.1,0.15,0,0,0,0,0,0,0,0,0
1670538781.234,1.4723333316667,1.3686666561666998,0.96999997,1.8399999,328.91007409693,920.3133333333301,88.433333333333,0,0,0,0,0,0,0,0,0,0
1670538841.233,1.3868333466667,1.5896666683333,1.29,1.93,331.65760315057,920.2783333333301,88.666666666667,0,0,0,0,0,0,0,0,0,0
1670538901.236,1.399833365,1.606000005,1.05,2.49,349.8204026673,920.24666666667,88.96666666666701,0,0,0,0,0,0,0,0,0,0
1670538961.231,1.4458333183333,1.6879999883333001,0.98,2.42,343.86944349441,920.25666666667,90.066666666667,0,0,0,0,0,0,0,0,0,0
1670539021.279,1.38516665,2.5488333266667,1.8,2.95,337.36579858226,920.25333333333,90.3,0,0,0,0,0,0,0,0,0,0
1670539081.23,1.31499997,2.4593333066667,1.9799999,3.03,349.7845391554,920.235,89.316666666667,0,0,0,0,0,0,0,0,0,0
1670539141.225,1.32116661,1.949166665,1.1600001,2.55,343.80974986259,920.23,89.583333333333,0,0,0,0,0,0,0,0,0,0
1670539201.346,1.3086666316667,1.1839999986667,0.71999997,1.5600001000000001,339.65068356715,920.245,88.166666666667,0,0,0,0,0,0,0,0,0,0
1670539261.232,1.3358332916667,1.0349999951667,0.61,1.39,352.27628072910005,920.225,89.05,0,0,0,0,0,0,0,0,0,0
1670539321.244,1.3584999916667,1.2575,0.83000004,1.5600001000000001,331.22251563448,920.215,89.233333333333,0,0,0,0,0,0,0,0,0,0
1670539381.239,1.3961666783333,1.2613333355,0.78000003,1.79,337.59831034742,920.22,90.383333333333,0,0,0,0,0,0,0,0,0,0
1670539441.232,1.4076667066667,1.4557627091525,0.95,1.79,340.93014616286,920.2066666666699,89.183333333333,0,0,0,0,0,0,0,0,0,0
1670539501.226,1.3318333083333,1.427333335,1.02,1.89,338.21714476956004,920.165,87.85,0,0,0,0,0,0,0,0,0,0
1670539561.232,1.30949999,1.0381666626666999,0.66999996,1.64,348.41753177512,920.11,87.166666666667,0,0,0,0,0,0,0,0,0,0
1670539621.231,1.3533333166666999,1.335166665,0.8,1.78,340.75381761635,920.095,88.483333333333,0,0,0,0,0,0,0,0,0,0
1670539681.234,1.37733335,1.5960000066667,1.0699999,2.1200001,353.94108122532003,920.11166666667,88.183333333333,0,0,0,0,0,0,0,0,0,0
1670539741.225,1.411166705,1.8786666783333001,1.15,2.67,7.9508746573562,920.135,88.833333333333,0,0,0,0,0,0,0,0,0,0
1670539801.452,1.38083334,2.3952459180327996,1.82,2.79,1.3322704703083001,920.1716666666699,88.166666666667,0,0,0,0,0,0,0,0,0,0
1670539861.233,1.3281666083333001,2.1564406711863997,1.65,2.6200001,358.07644402161003,920.1616666666699,87.71666666666701,0,0,0,0,0,0,0,0,0,0
1670539921.253,1.317666655,1.4869999966667,1.08,2.08,350.41868673087004,920.1533333333301,87.46666666666701,0,0,0,0,0,0,0,0,0,0
1670539981.307,1.361666655,1.3764999956667001,0.93999994,1.76,355.12383344502996,920.18,88.316666666667,0,0,0,0,0,0,0,0,0,0
1670540041.251,1.3846666866667,1.0580000063333,0.58000004,1.6200001,349.37740433165,920.17,87.46666666666701,0,0,0,0,0,0,0,0,0,0
1670540101.386,1.4086667283333,1.4224999961666998,0.96999997,1.96,350.83618380418,920.165,87.95,0,0,0,0,0,0,0,0,0,0
1670540161.25,1.4469491830508,1.599500005,1.27,2.01,344.89913191385,920.16271186441,89.016949152542,0,0,0,0,0,0,0,0,0,0
1670540221.254,1.4494999783333,1.7391666716667,1.12,2.4,340.20491407811,920.19,88.3,0,0,0,0,0,0,0,0,0,0
1670540281.25,1.4606666483333,1.88833334,1.3,2.66,348.5431683375,920.1916666666699,88.633333333333,0,0,0,0,0,0,0,0,0,0
1670540341.25,1.4395000433333,2.1913333316667,1.71,2.73,334.91228570968997,920.2133333333301,88.6,0,0,0,0,0,0,0,0,0,0
1670540401.377,1.4286885590164,1.6748333316667,0.98,2.1799998,348.80993567422996,920.2,88.32786885245899,0,0,0,0,0,0,0,0,0,0
1670540461.24,1.4399999762712,1.307000012,0.79,1.8299999,358.16893075631003,920.17966101695,87.54237288135599,0,0,0,0,0,0,0,0,0,0
1670540521.236,1.44199992,0.8793333278333298,0.22999999,1.3199999,3.2540538821341003,920.1583333333301,86.75,0,0,0,0,0,0,0,0,0,0
1670540581.311,1.455833325,1.1701666653333,0.53000003,1.6299999,37.257591043396,920.1583333333301,87.3,0,0,0,0,0,0,0,0,0,0
1670540641.245,1.462,0.92000000833333,0.56,1.3100001000000001,26.091017912060998,920.1816666666699,86.933333333333,0,0,0,0,0,0,0,0,0,0
1670540701.365,1.4776666666667,0.64883333933333,0.41,0.88,350.92835997146005,920.18,86.566666666667,0,0,0,0,0,0,0,0,0,0
1670540761.262,1.4845,0.73950000183333,0.55,0.98999995,55.266782141293,920.1816666666699,86.21666666666701,0,0,0,0,0,0,0,0,0,0
1670540821.256,1.4973333333333,0.6076666666,0.030000001000000002,1.15,76.337233052106,920.15,85.75,0,0,0,0,0,0,0,0,0,0
1670540881.255,1.5218333333333,0.98899999866667,0.66999996,1.4,89.306815047882,920.13,87.383333333333,0,0,0,0,0,0,0,0,0,0
1670540941.258,1.5569999916667,1.0801666705,0.84,1.5600001000000001,117.43874952604999,920.12166666667,87.333333333333,0,0,0,0,0,0,0,0,0,0
1670541001.449,1.5676666683333,1.03433332,0.76,1.23,114.79775906895,920.115,87.266666666667,0,0,0,0,0,0,0,0,0,0
1670541061.25,1.5616667183333,0.6355932264406801,0.42,0.96000004,70.236322953669,920.085,86.883333333333,0,0,0,0,0,0,0,0,0,0
1670541121.264,1.5471666666666999,0.93266666066667,0.59000003,1.3199999,60.323146724218,920.0916666666699,87.333333333333,0,0,0,0,0,0,0,0,0,0
