system:index;ST;ST_unc;coverage;sensor;system:time_start;time_gmt1
1_1_2_LE07_195028_20220816;22.8590402;2.44;1.00207696;LANDSAT_7;1.66E+12;2022-08-16T07:44:29
2_LC09_196027_20220816;24.79363952;3.14;1.00207696;LANDSAT_9;1.66E+12;2022-08-16T09:22:53
2_LC09_196028_20220816;24.79363952;3.68;1.001916287;LANDSAT_9;1.66E+12;2022-08-16T09:23:17
2_LC09_195028_20220825;24.05192918;2.18;1.00207696;LANDSAT_9;1.66E+12;2022-08-25T09:17:08
1_1_2_LE07_195028_20220902;21.36194744;2.48;1.00207696;LANDSAT_7;1.66E+12;2022-09-02T07:42:54
1_2_LC08_195028_20220902;16.0400903;2.23;1.00207696;LANDSAT_8;1.66E+12;2022-09-02T09:17:25
1_2_LC08_196028_20220909;22.80435188;2.13;1.001916287;LANDSAT_8;1.66E+12;2022-09-09T09:23:40
1_2_LC08_195028_20220918;20.31945134;2.06;1.00207696;LANDSAT_8;1.66E+12;2022-09-18T09:17:33
1_1_2_LE07_195028_20220919;20.40148382;2.12;1.00207696;LANDSAT_7;1.66E+12;2022-09-19T07:41:11
1_2_LC08_196028_20221011;16.60748162;2.29;1.001916287;LANDSAT_8;1.67E+12;2022-10-11T09:23:36
1_2_LC08_196027_20221027;15.25736372;2.65;1.00207696;LANDSAT_8;1.67E+12;2022-10-27T09:23:19
1_2_LC08_196028_20221027;15.26078174;2.49;1.001916287;LANDSAT_8;1.67E+12;2022-10-27T09:23:43
1_2_LC08_195028_20221105;11.71450115;3.59;1.00207696;LANDSAT_8;1.67E+12;2022-11-05T09:17:32
