x,y,y2,y4,y6,y8,y10,y12,y14,y16,y18,y20,y22,y24,y1,y3,y5,y7,y9,y11,y13,y15,y17,y19,y21,y23,y25
1614553200,5.453,5.237,985,1030,1.451,4.7,58.47,2.171,76.81,0,0,7.018,3.406,0,0,0,0,0,0,0,0,0,0,0,0,0
1614556800,4.979,4.72,985,1030,1.239,2.8,64.95,1.241,78.44,0,0,7.041,3.402,0,0,0,0,0,0,0,0,0,0,0,0,0
1614560400,3.788,3.393,985,1030,1.183,2.1,36.98,1.216,86,0,0,7.081,3.402,0,0,0,0,0,0,0,0,0,0,0,0,0
1614564000,2.84,2.332,985,1029,0.902,2.5,31.86,1.526,90.6,0,0,7.085,3.403,0,0,0,0,0,0,0,0,0,0,0,0,0
1614567600,2.541,1.744,985,1029,1.043,2.4,22.88,1.644,95.5,0,0,7.079,3.38,0,0,0,0,0,0,0,0,0,0,0,0,0
1614571200,1.698,1.222,985,1029,0.969,2.6,36.41,1.916,98.6,0,0,7.075,3.381,0,0,0,0,0,0,0,0,0,0,0,0,0
1614574800,1.745,1.017,985,1029,0.764,2.7,36.67,1.858,98.5,0,0,7.057,3.387,0,0,0,0,0,0,0,0,0,0,0,0,0
1614578400,1.401,0.735,985,1029,0.801,2.3,42.78,1.791,100.9,0,0,7.064,3.39,0,0,0,0,0,0,0,0,1,0,0,0,0
1614582000,0.78,0.374,985,1030,0.887,2.5,37.71,1.85,104.1,0,62.26,7.028,3.397,0,0,0,0,0,0,0,0,1,0,0,0,0
1614585600,2.273,1.785,986,1030,1.72,2,38.93,1.279,99.9,0,216.9,6.984,3.376,0,0,0,0,0,0,0,0,0,0,0,0,0
1614589200,4.388,4.073,985,1030,4.362,2.9,193.1,1.495,102.5,0,394.9,7.113,3.313,0,0,0,0,0,0,0,0,1,0,0,0,0
1614592800,4.497,4.458,985,1030,4.143,2.3,214,1.576,98.2,0,506.7,7.223,3.306,0,0,0,0,0,0,0,0,0,0,0,0,0
1614596400,4.832,4.932,985,1030,4.525,2.5,200.5,1.664,97.5,0,597.8,7.337,3.378,0,0,0,0,0,0,0,0,0,0,0,0,0
1614600000,5.284,5.319,985,1029,4.948,1.8,257.2,1.099,97.8,0,620.8,7.486,3.399,0,0,0,0,0,0,0,0,0,0,0,0,0
1614603600,5.959,5.972,984,1028,4.943,1.8,213.1,1.028,93.4,0,590.9,7.722,3.397,0,0,0,0,0,0,0,0,0,0,0,0,0
1614607200,6.8,6.725,984,1028,5.012,2,226.8,1.181,89.2,0,490.6,7.862,3.39,0,0,0,0,0,0,0,0,0,0,0,0,0
1614610800,7.765,7.589,983,1027,4.29,1.4,263.7,0.841,79.98,0,348.4,7.898,3.388,0,0,0,0,0,0,0,0,0,0,0,0,0
1614614400,8.18,8.57,983,1027,1.649,1.4,164.6,0.802,62.08,0,174.1,7.781,3.389,0,0,0,0,0,0,0,0,0,0,0,0,0
1614618000,7.55,7.553,983,1027,5.197,2.2,132.8,1.707,86.2,0,22.71,7.839,3.39,0,0,0,0,0,0,0,0,0,0,0,0,0
1614621600,6.841,6.675,984,1028,6.758,1.7,93.9,0.982,100.9,0,0,7.827,3.39,0,0,0,0,0,0,0,0,1,0,0,0,0
1614625200,6.447,6.101,984,1028,5.267,1.7,96.7,1.01,94.8,0,0,7.77,3.389,0,0,0,0,0,0,0,0,0,0,0,0,0
1614628800,6.042,5.373,984,1028,5.15,1.9,51.03,1.266,98.8,0,0,7.737,3.386,0,0,0,0,0,0,0,0,0,0,0,0,0
1614632400,5.141,4.476,984,1029,4.587,1.6,5.552,0.817,101.3,0,0,7.578,3.386,0,0,0,0,0,0,0,0,1,0,0,0,0
1614636000,5.337,4.303,985,1029,4.668,1.8,20.06,1.251,102.9,0,0,7.314,3.388,0,0,0,0,0,0,0,0,1,0,0,0,0
1614639600,4.734,3.854,985,1029,3.479,2.1,40.34,1.651,97.8,0,0,7.208,3.39,0,0,0,0,0,0,0,0,0,0,0,0,0
1614643200,3.911,3.335,985,1030,2.11,2.3,35.9,1.391,92,0,0,7.143,3.392,0,0,0,0,0,0,0,0,0,0,0,0,0
1614646800,3.715,2.967,986,1030,1.739,2.2,43.93,1.551,92,0,0,7.08,3.39,0,0,0,0,0,0,0,0,0,0,0,0,0
1614650400,3.528,2.576,986,1030,1.982,2.1,42.72,1.601,96.2,0,0,7.042,3.389,0,0,0,0,0,0,0,0,0,0,0,0,0
1614654000,2.729,2.022,986,1030,1.786,2.2,44.67,1.625,98.7,0,0,7.036,3.389,0,0,0,0,0,0,0,0,0,0,0,0,0
1614657600,2.206,1.616,986,1030,1.439,2.5,43.82,1.658,99.1,0,0,7.13,3.391,0,0,0,0,0,0,0,0,0,0,0,0,0
1614661200,2.439,1.796,986,1030,1.394,2.5,36.91,1.883,97.5,0,0,7.157,3.393,0,0,0,0,0,0,0,0,0,0,0,0,0
1614664800,2.186,1.492,986,1030,1.486,2.4,39.8,1.726,100.3,0,0,7.146,3.4,0,0,0,0,0,0,0,0,1,0,0,0,0
1614668400,1.893,1.281,987,1031,1.129,2.7,40.41,1.875,99.3,0,75.99,7.151,3.409,0,0,0,0,0,0,0,0,0,0,0,0,0
1614672000,3.381,2.699,987,1031,1.893,2.6,48.33,1.212,94.8,0,224.6,7.167,3.416,0,0,0,0,0,0,0,0,0,0,0,0,0
1614675600,5.103,4.792,988,1032,4.936,1.8,201.7,1.101,101.4,0,381.2,7.221,3.416,0,0,0,0,0,0,0,0,1,0,0,0,0
1614679200,5.254,5.23,987,1032,5.689,1.7,230.7,1.126,103.6,0,516.9,7.289,3.413,0,0,0,0,0,0,0,0,1,0,0,0,0
1614682800,5.699,5.845,987,1032,5.277,2.5,197.9,1.368,96.5,0,635.3,7.449,3.373,0,0,0,0,0,0,0,0,0,0,0,0,0
