x,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,y11,y12,y13,y14,y15,y,y16
1668382861.229,1.910999985,1.29,2.4299998,36.209500680077,932.62666666667,100,0,0,0,0,0,0,0,0,0,4.8251666366667,0
1668382921.23,1.7878333258333001,0.98999995,2.3,53.759010671567005,932.5883333333301,100,0,0,0,0,0,0,0,0,0,4.765333335,0
1668382981.239,2.055666665,1.54,2.6399999,30.337946048779997,932.5716666666699,100,0,0,0,0,0,0,0,0,0,4.7540000683332995,0
1668383041.23,2.3039999966667004,1.82,2.72,29.529478636584,932.535,100,0,0,0,0,0,0,0,0,0,4.660000025,0
1668383101.23,1.9626666583333001,1.4300001,2.3600001,21.310829826954,932.5,100,0,0,0,0,0,0,0,0,0,4.5978333083333,0
1668383161.233,1.2326666666666999,0.87,1.53,12.163131107867999,932.51166666667,100,0,0,0,0,0,0,0,0,0,4.5713333333333,0
1668383221.269,0.98849999316667,0.61,1.4100001,18.86832941573,932.59,100,0,0,0,0,0,0,0,0,0,4.63700005,0
1668383281.282,0.9856666711666701,0.5,1.64,358.24324411643,932.62666666667,100,0,0,0,0,0,0,0,0,0,4.641333283333299,0
1668383341.262,0.6635000025,0.41,0.98,26.179659428793002,932.62333333333,100,0,0,0,0,0,0,0,0,0,4.6573333733333,0
1668383401.401,0.6286666635,0.38,0.91999996,30.893694594432997,932.62833333333,100,0,0,0,0,0,0,0,0,0,4.676,0
1668383461.275,1.0698333373333002,0.65999997,1.76,339.16227635473,932.63333333333,100,0,0,0,0,0,0,0,0,0,4.65299999,0
1668383521.288,1.53833331,1.26,2.1799998,312.82238316793996,932.615,100,0,0,0,0,0,0,0,0,0,4.6215,0
1668383581.267,1.0376271177966,0.71,1.3100001000000001,353.60173468498,932.57,100,0,0,0,0,0,0,0,0,0,4.5415,0
1668383641.265,0.5703333351666701,0.3,0.84,313.56003231020003,932.51666666667,100,0,0,0,0,0,0,0,0,0,4.53183327,0
1668383701.421,0.7329508216393399,0.35,1.33,296.4223820808,932.51666666667,100,0,0,0,0,0,0,0,0,0,4.5176666166667,0
1668383761.272,0.37305084708475,0.02,0.96000004,314.65335012482,932.49166666667,100,0,0,0,0,0,0,0,0,0,4.54883327,0
1668383821.282,0.25733333405000003,0.02,0.4,140.63789861348,932.505,100,0,0,0,0,0,0,0,0,0,4.651999995,0
1668383881.246,0.46049999799999997,0.11,0.83000004,149.32455393005,932.51666666667,100,0,0,0,0,0,0,0,0,0,4.6886666666667,0
1668383941.25,0.44233333316667,0.13,0.86,37.155521500904,932.5,100,0,0,0,0,0,0,0,0,0,4.7216666416667,0
1668384001.325,0.6628333341666701,0.4,1.1,331.59688126998,932.5366666666699,100,0,0,0,0,0,0,0,0,0,4.743166658333299,0
1668384061.252,0.8486666605,0.49,1.25,17.12438948267,932.5566666666699,100,0,0,0,0,0,0,0,0,0,4.752999946666701,0
1668384121.251,0.931333335,0.69,1.35,63.729598630248006,932.53,100,0.03333333333333299,0,0,0,0,0,0,0,0,4.74233334,0
1668384181.333,1.0388333375,0.64,1.6,61.525224998875,932.53,100,0,0,0,0,0,0,0,0,0,4.737666745,0
1668384241.25,0.9924999936666701,0.75,1.3199999,48.612916899561995,932.555,100,0.4,0,0,0,0,0,0,0,0,4.8441666183333,0
1668384301.361,1.1021666681667,0.75,1.51,17.585026340271,932.555,100,0.4,0,0,0,0,0,0,0,0,4.8036665916667,0
