x,y,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,y11,y12,y13,y14,y15,y16
1668164461.223,10.736949059321999,0.45542373,0.24000001,0.65999997,17.850164247243,947.73898305085,76.677966101695,368.20338983051005,0,0,0,0,0,0,0,0,0
1668164521.22,10.8211666,0.44466666899999996,0.29000002,0.6,359.80181398287004,947.73833333333,76.266666666667,365.8,0,0,0,0,0,0,0,0,0
1668164581.227,10.877333333333,0.27200000183333,0.1,0.43,8.8111605363543,947.76333333333,76,364.91666666667,0,0,0,0,0,0,0,0,0
1668164641.22,10.898666833333001,0.47499999950000005,0.3,0.79,348.24115424846,947.785,76.21666666666701,374.71666666667,0,0,0,0,0,0,0,0,0
1668164701.604,10.895666666667,0.75716667183333,0.5,0.9,25.229270320043,947.78,76.166666666667,378.51666666667,0,0,0,0,0,0,0,0,0
1668164761.221,10.896333333333,0.39366666783333004,0.15,0.77,41.955714528027,947.725,76.016666666667,390.25,0,0,0,0,0,0,0,0,0
1668164821.218,10.965666775,0.25600000116667004,0.01,0.56,38.806316618874,947.755,77.05,392.91666666667,0,0,0,0,0,0,0,0,0
1668164881.219,11.095166483333001,0.2531666666,0.01,0.56,40.019601836513,947.77,76.9,381.2,0,0,0,0,0,0,0,0,0
1668164941.223,11.227833333333,0.13650000101667,0,0.39000002,313.42354033053,947.77166666667,76,381.63333333333003,0,0,0,0,0,0,0,0,0
1668165001.73,11.419500183333001,0.26099999946667,0.030000001000000002,0.52,22.73348452849,947.82,76.35,372.03333333333,0,0,0,0,0,0,0,0,0
1668165061.279,11.446666800000001,0.26883333035,0.04,0.59000003,44.225736191852,947.8283333333301,76.516666666667,372.11666666666997,0,0,0,0,0,0,0,0,0
1668165121.225,11.393666666666999,0.39216666516667004,0.2,0.62,40.963929091191,947.7833333333301,75.35,370.91666666667,0,0,0,0,0,0,0,0,0
1668165181.229,11.393666666666999,0.43850000149999996,0.22,0.62,30.843794284557,947.6966666666699,75,352.96666666667,0,0,0,0,0,0,0,0,0
1668165241.223,11.458999841667,0.24650000033333,0.14,0.37,4.6488113813989,947.63166666667,75.5,345.75,0,0,0,0,0,0,0,0,0
1668165301.687,11.546833341666998,0.14900000086667,0.030000001000000002,0.38,334.9066408338,947.60333333333,75,331.43333333333,0,0,0,0,0,0,0,0,0
1668165361.231,11.599833325,0.50516666666667,0.060000002000000004,0.98,337.69521265849,947.595,75.083333333333,343.7,0,0,0,0,0,0,0,0,0
1668165421.219,11.275500016667,0.64066666466667,0.42,0.91,326.81747637776,947.50833333333,76.5,341.3,0,0,0,0,0,0,0,0,0
1668165481.227,11.2438336,0.6758333365000001,0.44,0.93999994,6.738644881903699,947.4466666666699,76.3,337.23333333332994,0,0,0,0,0,0,0,0,0
1668165541.223,11.335333216667,0.41133333316667,0.26,0.59000003,353.69681601096,947.39166666667,76,343.56666666667,0,0,0,0,0,0,0,0,0
1668165601.779,11.357999999999999,0.6018333371666701,0.29000002,1.28,359.58439382030997,947.4483333333301,76.71666666666701,353.31666666667,0,0,0,0,0,0,0,0,0
1668165661.23,11.284166741666999,0.98633333133333,0.75,1.1899998999999999,359.55404994868996,947.4633333333301,76.6,354.6,0,0,0,0,0,0,0,0,0
1668165721.303,11.188666775,0.9853333255,0.8,1.24,358.92737119826006,947.4066666666699,76.233333333333,351.93333333333,0,0,0,0,0,0,0,0,0
1668165781.231,11.130999999999998,0.93549999633333,0.71,1.22,1.6477588433478,947.35833333333,77.066666666667,372.03333333333,0,0,0,0,0,0,0,0,0
1668165841.227,11.136,0.63300000266667,0.43,0.83000004,356.13064687739995,947.35833333333,77,381.06666666667,0,0,0,0,0,0,0,0,0
1668165901.639,11.181833583333,0.68149999883333,0.45,0.98999995,4.4046853618745,947.4466666666699,77.233333333333,368.4,0,0,0,0,0,0,0,0,0
1668165961.229,11.191000166667,0.8477966076271201,0.63,1.03,354.66385011435,947.48333333333,77.1,363.8,0,0,0,0,0,0,0,0,0
1668166021.235,11.1645001,0.583666672,0.45,0.78000003,354.67340461165,947.48,77.333333333333,363.06666666667,0,0,0,0,0,0,0,0,0
1668166081.253,11.232333316666999,0.71766666666667,0.35,0.98,8.1723598159411,947.5266666666699,77.833333333333,361.3,0,0,0,0,0,0,0,0,0
1668166141.34,11.244166666666999,0.7844262354098399,0.64,1.08,11.943079084125,947.53,76.85,355.75,0,0,0,0,0,0,0,0,0
1668166201.818,11.247166666666999,0.63483333766667,0.45,0.88,27.934492085612,947.50666666667,75.366666666667,354.51666666667,0,0,0,0,0,0,0,0,0
1668166261.231,11.286101779661,0.6091525440678001,0.45,0.89,24.871967216261,947.51355932203,76,350.4406779661,0,0,0,0,0,0,0,0,0
1668166321.236,11.327166666666999,0.713,0.49,0.96999997,11.397192602765,947.50666666667,75.633333333333,361.45,0,0,0,0,0,0,0,0,0
1668166381.318,11.283442663934,0.55066666716667,0.35,0.91999996,321.14950707842,947.4934426229499,75.08196721311499,355.83606557377,0,0,0,0,0,0,0,0,0
1668166441.23,11.265593042372998,0.42016666816667,0.14,0.65999997,12.760458974288001,947.51525423729,76.33898305084699,337.57627118643995,0,0,0,0,0,0,0,0,0
1668166501.696,11.417213139344002,0.30573770618033,0.05,0.53000003,17.437487666428,947.54098360656,74.803278688525,327.50819672131,0,0,0,0,0,0,0,0,0
1668166561.225,11.552372762711999,0.3862711870339,0.11,0.63,10.46161256151,947.5525423728801,74.559322033898,334.54237288136,0,0,0,0,0,0,0,0,0
1668166621.23,11.656833425,0.24633333425,0.11,0.41,22.567507661981,947.5533333333301,74,341.16666666667004,0,0,0,0,0,0,0,0,0
1668166681.246,11.758166466667,0.36183333575000004,0.120000005,0.88,4.781169085482,947.6016666666699,74.483333333333,356.26666666667,0,0,0,0,0,0,0,0,0
1668166741.273,11.715166725,0.8578333346666701,0.66999996,1.0699999,29.908917849564,947.62333333333,73.633333333333,364.36666666666997,0,0,0,0,0,0,0,0,0
1668166801.815,11.648196721310999,0.5472131195082,0.32,0.71999997,33.529179656745,947.52459016393,73.672131147541,366.39344262295,0,0,0,0,0,0,0,0,0
1668166861.223,11.690000423729,0.60084745762712,0.28,0.83000004,16.696450149288,947.4983050847501,73.542372881356,370.27118644068,0,0,0,0,0,0,0,0,0
1668166921.231,11.728667133333001,0.61483333116667,0.41,0.8,11.172736344028001,947.50333333333,73.116666666667,366.33333333333,0,0,0,0,0,0,0,0,0
1668166981.228,11.703500425,0.6516666641666701,0.34,0.96999997,350.56625159431,947.49833333333,74.21666666666701,378.96666666667,0,0,0,0,0,0,0,0,0
1668167041.242,11.756000125,0.43449999916667,0.17,0.7,347.06436558423997,947.5316666666699,73.583333333333,375.96666666667,0,0,0,0,0,0,0,0,0
1668167101.786,11.861803196721,0.41400000116666996,0.19,0.96999997,351.68027010335,947.59344262295,73.262295081967,372.95081967212997,0,0,0,0,0,0,0,0,0
1668167161.226,11.877457627119,0.51599999883333,0.16,1.01,323.70811768134,947.5983050847501,74.35593220339001,375.05084745763,0,0,0,0,0,0,0,0,0
1668167221.227,11.866999966666999,0.573000002,0.28,0.89,306.3591880874,947.5866666666699,73.866666666667,331.11666666667,0,0,0,0,0,0,0,0,0
1668167281.233,11.806833183333001,0.55883333816667,0.38,0.78000003,319.88111673415,947.53,73.633333333333,254.3,0,0,0,0,0,0,0,0,0
1668167341.23,11.756666608333001,0.9249999896666701,0.6,1.25,1.2144715211432,947.4433333333301,74.183333333333,328.48333333332994,0,0,0,0,0,0,0,0,0
1668167401.955,11.734590459016,0.72216666583333,0.42,1.15,356.19662779344003,947.3114754098401,73.967213114754,335.34426229508,0,0,0,0,0,0,0,0,0
1668167461.232,11.731864508475,0.7898333326666701,0.58000004,1.1,27.049648316622,947.2813559322,74.77966101694899,337.47457627119,0,0,0,0,0,0,0,0,0
1668167521.229,11.670000300000002,0.7923333271666702,0.55,1.13,350.2257599883,947.25166666667,74.233333333333,336.75,0,0,0,0,0,0,0,0,0
1668167581.229,11.51516665,1.0019999946667,0.79,1.21,335.59401532972,947.22833333333,74,332.68333333333,0,0,0,0,0,0,0,0,0
1668167641.231,11.452833508333,0.75049999916667,0.52,1.0699999,335.88021846367997,947.1833333333301,74.6,316.3,0,0,0,0,0,0,0,0,0
1668167701.884,11.501803409835999,0.5300000018333301,0.38,0.68,327.27183783891,947.2,74.786885245902,309.29508196721,0,0,0,0,0,0,0,0,0
1668167761.295,11.462542279661,0.5176666704999999,0.35999998,0.62,286.0392235868,947.2186440678,75.118644067797,303.91525423729,0,0,0,0,0,0,0,0,0
1668167821.232,11.451333658333,0.6333333346666701,0.5,0.77,272.85023648844,947.25333333333,75,299.96666666667005,0,0,0,0,0,0,0,0,0
1668167881.228,11.587666625,0.46716666683333,0.35,0.62,253.13099990217003,947.24833333333,74.35,292.66666666667004,0,0,0,0,0,0,0,0,0
1668167941.225,11.721666758333,0.4104999985,0.22,0.71999997,244.27176484845,947.27166666667,73.566666666667,290.58333333332996,0,0,0,0,0,0,0,0,0
1668168001.993,11.848688524589999,0.14799999995,0.05,0.24000001,253.7038140777,947.2770491803301,73.147540983607,280.34426229508,0,0,0,0,0,0,0,0,0
1668168061.231,11.989491516949,0.22066666651667002,0.030000001000000002,0.48000002,290.68376037342006,947.32711864407,73,275.15254237287996,0,0,0,0,0,0,0,0,0
1668168121.272,12.088166566666999,0.2991666672,0.060000002000000004,0.7,354.37494752015,947.3516666666699,72.616666666667,265.36666666667,0,0,0,0,0,0,0,0,0
