system:index,ST,ST_unc,coverage,sensor,time_utc,time_utc+1,time_unix
1_2_LC08_195028_20220716,25.02264686,2.25,1.00207696,LANDSAT_8,2022-07-16 10:17:07,2022-07-16 11:17:07,1657966627
2_LC09_195028_20220724,27.19650758,2.37,1.00207696,LANDSAT_9,2022-07-24 10:16:52,2022-07-24 11:16:52,1658657812
1_1_2_LE07_195028_20220730,23.4571937,2.82,1.00207696,LANDSAT_7,2022-07-30 08:45:56,2022-07-30 09:45:56,1659170756
2_LC09_196027_20220731,26.18819168,3.76,1.00207696,LANDSAT_9,2022-07-31 10:22:44,2022-07-31 11:22:44,1659262964
2_LC09_196028_20220731,26.1916097,3.76,1.001916287,LANDSAT_9,2022-07-31 10:23:08,2022-07-31 11:23:08,1659262988
1_2_LC08_195028_20220801,26.47530536,2.05,1.00207696,LANDSAT_8,2022-08-01 10:17:20,2022-08-01 11:17:20,1659349040
1_2_LC08_196027_20220808,23.29312874,3.78,1.00207696,LANDSAT_8,2022-08-08 10:23:10,2022-08-08 11:23:10,1659954190
1_2_LC08_196028_20220808,23.32389092,3.76,1.001916287,LANDSAT_8,2022-08-08 10:23:34,2022-08-08 11:23:34,1659954214
2_LC09_195028_20220809,24.21257612,1.82,1.00207696,LANDSAT_9,2022-08-09 10:17:03,2022-08-09 11:17:03,1660040223
1_1_2_LE07_195028_20220816,22.8590402,2.44,1.00207696,LANDSAT_7,2022-08-16 08:44:29,2022-08-16 09:44:29,1660639469
2_LC09_196027_20220816,24.79363952,3.14,1.00207696,LANDSAT_9,2022-08-16 10:22:53,2022-08-16 11:22:53,1660645373
2_LC09_196028_20220816,24.79363952,3.68,1.001916287,LANDSAT_9,2022-08-16 10:23:17,2022-08-16 11:23:17,1660645397
2_LC09_195028_20220825,24.05192918,2.18,1.00207696,LANDSAT_9,2022-08-25 10:17:08,2022-08-25 11:17:08,1661422628
1_1_2_LE07_195028_20220902,21.36194744,2.48,1.00207696,LANDSAT_7,2022-09-02 08:42:54,2022-09-02 09:42:54,1662108174
1_2_LC08_195028_20220902,16.0400903,2.23,1.00207696,LANDSAT_8,2022-09-02 10:17:25,2022-09-02 11:17:25,1662113845
1_2_LC08_196028_20220909,22.80435188,2.13,1.001916287,LANDSAT_8,2022-09-09 10:23:40,2022-09-09 11:23:40,1662719020
1_2_LC08_195028_20220918,20.31945134,2.06,1.00207696,LANDSAT_8,2022-09-18 10:17:33,2022-09-18 11:17:33,1663496253
1_1_2_LE07_195028_20220919,20.40148382,2.12,1.00207696,LANDSAT_7,2022-09-19 08:41:11,2022-09-19 09:41:11,1663576871
1_2_LC08_196028_20221011,16.60748162,2.29,1.001916287,LANDSAT_8,2022-10-11 10:23:36,2022-10-11 11:23:36,1665483816
1_2_LC08_196027_20221027,15.25736372,2.65,1.00207696,LANDSAT_8,2022-10-27 10:23:19,2022-10-27 11:23:19,1666866199
1_2_LC08_196028_20221027,15.26078174,2.49,1.001916287,LANDSAT_8,2022-10-27 10:23:43,2022-10-27 11:23:43,1666866223
1_2_LC08_195028_20221105,11.71450115,3.59,1.00207696,LANDSAT_8,2022-11-05 10:17:32,2022-11-05 11:17:32,1667643452
