x,y,y1,y2,y3,y4
1672045814.863,6.6,6.292000000000001,0,0,0
1672046412.657,6.84,6.3004,0,0,0
1672047012.62,8.06,6.3115,0,0,0
1672047612.619,7.45,6.3314,0,0,0
1672048212.639,7.11,6.3577,0,0,0
1672048812.624,7.44,6.4197,0,0,0
1672049412.55,7.45,6.4938,0,0,0
1672050012.552,7.52,6.4818,0,0,0
1672050612.603,8.01,6.4825,0,0,0
1672051212.581,7.71,6.4913,0,0,0
1672051812.66,7.28,6.4746,0,0,0
1672052412.693,7.78,6.4108,0,0,0
1672053012.547,7.95,6.3801,0,0,0
1672053612.577,8.56,6.3627,0,0,0
1672054212.607,8.07,6.3542,0,0,0
1672054812.656,7.45,6.349,0,0,0
1672055412.579,8.3,6.3397,0,0,0
1672056012.604,8.87,6.353,0,0,0
1672056612.535,7.81,6.3512,0,0,0
1672057212.604,7.41,6.3531,0,0,0
1672057812.626,7.21,6.3557,0,0,0
1672058412.661,7.89,6.355,0,0,0
1672059012.595,7.41,6.3549,0,0,0
1672059612.605,7.04,6.3607,0,0,0
1672060212.603,7.65,6.3535,0,0,0
1672060812.537,6.96,6.3529,0,0,0
1672061428.132,7.65,,0,0,1
1672062012.682,6.53,6.3582,0,0,0
1672062612.589,7.89,6.3573,0,0,0
1672063212.593,6.86,6.3607,0,0,0
1672063812.577,8.06,6.3629,0,0,0
1672064412.627,6.69,6.3715,0,0,0
1672065012.647,6.41,6.3683,0,0,0
1672065612.562,7.11,6.3689,0,0,0
1672066212.605,7.61,6.3738,0,0,0
1672066812.619,8.46,6.3725,0,0,0
1672067412.527,7.35,6.3698,0,0,0
1672068012.581,8.07,6.3692,0,0,0
1672068612.643,7.64,6.3653,0,0,0
1672069212.537,7.5,6.3664,0,0,0
1672069812.549,7.59,6.3568,0,0,0
1672070412.546,6.85,6.3495,0,0,0
1672071012.6,6.84,6.3458,0,0,0
1672071612.58,6.77,6.3378,0,0,0
1672072212.588,6.53,6.335,0,0,0
1672072812.617,7.59,6.3295,0,0,0
1672073412.597,6.76,6.3243,0,0,0
1672074012.577,6.86,6.3213,0,0,0
1672074612.575,7.23,6.3185,0,0,0
1672075212.646,6.04,6.3118,0,0,0
1672075812.587,6.67,6.3088,0,0,0
1672076412.527,6.66,6.3051,0,0,0
1672077012.607,7.75,6.3002,0,0,0
1672077612.528,5.84,6.2955,0,0,0
1672078212.615,5.96,6.2915,0,0,0
1672078812.637,7.91,6.2861,0,0,0
1672079412.543,6.31,6.2818,0,0,0
1672080012.527,6.98,6.2709,0,0,0
1672080612.627,6.51,6.2653,0,0,0
1672081212.577,7.35,6.2595,0,0,0
1672081812.585,8.47,6.2501,0,0,0
1672082412.577,7.31,6.2447,0,0,0
1672083012.557,6.94,6.242000000000001,0,0,0
1672083612.608,6.24,6.2487,0,0,0
1672084212.585,7.72,6.2417,0,0,0
1672084812.57,6.41,6.2408,0,0,0
1672085412.594,7.48,6.2381,0,0,0
1672086012.577,6.88,6.2432,0,0,0
1672086612.575,6.99,6.2497,0,0,0
1672087212.612,6.04,6.2572,0,0,0
1672087827.855,6.4,,0,0,1
1672088412.661,6.92,6.2461,0,0,0
1672089027.985,7.04,,0,0,1
1672089612.573,7.26,6.2474,0,0,0
1672090212.602,6.7,6.2446,0,0,0
1672090812.626,6.27,6.2443,0,0,0
1672091412.519,6.59,6.2381,0,0,0
1672092012.615,6.45,6.2322,0,0,0
1672092612.651,6.35,6.2354,0,0,0
1672093212.547,5.97,6.2164,0,0,0
1672093827.885,7.18,,0,0,1
1672094412.677,6.57,6.216,0,0,0
1672095012.675,6.26,6.2113,0,0,0
1672095612.722,6.26,6.2233,0,0,0
1672096212.722,5.88,6.2077,0,0,0
1672096812.587,5.49,6.2077,0,0,0
1672097412.575,5.67,6.2086,0,0,0
1672098012.64,6.47,6.2075,0,0,0
1672098612.609,7.15,6.2041,0,0,0
1672099212.597,6.3,6.2081,0,0,0
1672099812.655,6.11,6.2043,0,0,0
1672100412.638,6.26,6.2042,0,0,0
1672101012.558,5.72,6.204,0,0,0
1672101612.567,6.22,6.2066,0,0,0
1672102227.9,6.85,,0,0,1
1672102812.662,5.77,6.211,0,0,0
1672103412.616,6.16,6.2212,0,0,0
1672104012.609,5.62,6.2218,0,0,0
1672104612.585,5.74,6.2186,0,0,0
1672105212.591,4.73,6.2108,0,0,0
1672105812.604,5.45,6.2184,0,0,0
1672106412.657,5.83,6.2175,0,0,0
1672107012.612,5.44,6.2146,0,0,0
1672107612.575,5.26,6.2228,0,0,0
1672108212.587,5.25,6.2211,0,0,0
1672108812.568,5.64,6.2107,0,0,0
1672109412.647,5.34,6.2422,0,0,0
1672110012.548,4.66,6.2473,0,0,0
1672110612.567,5.74,6.2523,0,0,0
1672111212.634,4.12,6.2529,0,0,0
1672111812.642,5.74,6.2511,0,0,0
1672112412.57,5.12,6.2624,0,0,0
1672113012.587,5.03,6.256,0,0,0
1672113612.594,4.69,6.2577,0,0,0
1672114212.646,5.1,6.2575,0,0,0
1672114812.585,4.69,6.2597,0,0,0
1672115412.612,4.35,6.2638,0,0,0
1672116012.571,5.26,6.2567,0,0,0
1672116612.578,5.08,6.2493,0,0,0
1672117212.653,4.26,6.2565,0,0,0
1672117812.599,6.16,6.2551,0,0,0
1672118412.575,6.35,6.2506,0,0,0
1672119012.604,5.15,6.246,0,0,0
1672119612.62,5.32,6.2371,0,0,0
1672120212.65,5.82,6.2424,0,0,0
1672120812.621,5.73,6.251,0,0,0
1672121412.593,4.87,6.2461,0,0,0
1672122012.555,5.7,6.2341,0,0,0
1672122612.6,5.13,6.2383,0,0,0
1672123212.682,5.08,6.2467,0,0,0
1672123812.657,4.75,6.2485,0,0,0
1672124412.631,3.84,6.2441,0,0,0
1672125012.594,3.66,6.2378,0,0,0
1672125627.943,4.16,,0,0,1
1672126212.641,4.43,6.2582,0,0,0
1672126812.537,4.44,6.2366,0,0,0
1672127412.653,5.24,6.2665,0,0,0
1672128012.565,4.03,6.2448,0,0,0
1672128612.526,5.27,6.2482,0,0,0
1672129212.56,3.89,6.2271,0,0,0
1672129812.546,3.76,6.2298,0,0,0
1672130412.644,3.65,6.2671,0,0,0
1672131012.621,5.03,6.2537,0,0,0
1672131612.597,4.47,6.2598,0,0,0
1672132212.557,4.45,6.2661,0,0,0
1672132812.577,4.36,6.2452,0,0,0
1672133412.637,4.51,6.245,0,0,0
1672134012.601,4.97,6.2635,0,0,0
1672134612.65,5.16,6.2672,0,0,0
1672135212.613,4.95,6.2909,0,0,0
1672135812.546,4.36,6.2869,0,0,0
1672136412.64,4.94,6.3135,0,0,0
1672137012.584,6.2,6.3287,0,0,0
1672137612.608,7.13,6.3496,0,0,0
1672138212.585,5.98,6.4197,0,0,0
1672138812.719,6.34,6.4249,0,0,0
1672139412.727,6.77,6.4303,0,0,0
1672140012.614,6.27,6.4249,0,0,0
1672140612.606,5.18,6.4365,0,0,0
1672141212.598,5.97,6.4361,0,0,0
1672141812.617,6.2,6.4321,0,0,0
1672142412.607,6.9,6.4445,0,0,0
1672143012.58,6.45,6.4355,0,0,0
1672143612.603,5.89,6.4224,0,0,0
1672144212.614,5.98,6.4093,0,0,0
1672144812.587,7.43,6.4193,0,0,0
1672145427.886,7.18,,0,0,1
1672146012.62,6.98,6.4172,0,0,0
1672146612.587,6.94,6.4372,0,0,0
1672147212.629,6.86,6.4361,0,0,0
1672147812.599,6.11,6.4519,0,0,0
1672148412.614,6.65,6.4473,0,0,0
1672149012.613,6.68,6.4431,0,0,0
1672149612.599,5.76,6.4361,0,0,0
1672150212.604,6.72,6.4486,0,0,0
1672150812.624,5.75,6.4237,0,0,0
1672151412.626,6.72,6.4196,0,0,0
1672152012.607,6.01,6.422999999999999,0,0,0
1672152612.599,5.86,6.4047,0,0,0
1672153212.603,6.58,6.3775,0,0,0
1672153812.66,5.69,6.382999999999999,0,0,0
1672154412.663,6.95,6.3824,0,0,0
1672155012.577,5.55,6.3815,0,0,0
1672155612.525,5.54,6.3631,0,0,0
1672156212.623,6.08,6.3626,0,0,0
1672156827.917,6.1,,0,0,1
1672157412.653,5.64,6.3565,0,0,0
1672158012.633,4.92,6.3164,0,0,0
1672158612.556,5.59,6.3211,0,0,0
1672159212.57,5.2,6.2993,0,0,0
1672159812.654,5.95,6.3121,0,0,0
1672160412.645,5.53,6.3012,0,0,0
1672161012.587,6.7,6.3155,0,0,0
1672161612.613,5.94,6.3225,0,0,0
1672162212.636,4.83,6.2935,0,0,0
1672162812.599,5.64,6.2751,0,0,0
1672163412.527,5.66,6.2919,0,0,0
1672164012.537,5.59,6.2784,0,0,0
1672164612.577,4.52,6.2901,0,0,0
1672165212.603,5.9,6.2728,0,0,0
1672165812.636,4.38,6.2733,0,0,0
1672166412.607,5.54,6.2708,0,0,0
1672167012.618,4.95,6.2466,0,0,0
1672167612.653,4.52,6.2377,0,0,0
1672168212.553,5.38,6.1716,0,0,0
1672168812.603,3.8,6.2327,0,0,0
1672169412.574,4.41,6.2477,0,0,0
1672170012.601,4.26,6.2085,0,0,0
1672170612.609,4.71,6.2559,0,0,0
1672171212.617,4.47,6.1987,0,0,0
1672171812.557,3.55,6.2038,0,0,0
1672172412.596,4.97,6.2528,0,0,0
1672173012.538,4.44,6.2606,0,0,0
1672173612.58,4.15,6.2237,0,0,0
1672174212.616,2.95,6.1921,0,0,0
1672174812.58,3.79,6.1443,0,0,0
1672175412.61,4.86,6.202999999999999,0,0,0
1672176012.576,4.69,6.2017,0,0,0
1672176612.517,4.06,6.1839,0,0,0
1672177212.536,4.58,6.1273,0,0,0
1672177812.607,4.1,6.2299,0,0,0
1672178412.616,4.14,6.1489,0,0,0
1672179012.526,4.57,6.1743,0,0,0
1672179612.557,4.55,6.182,0,0,0
1672180212.581,5.12,6.1770000000000005,0,0,0
1672180812.577,4.93,6.1562,0,0,0
1672181412.687,4.13,6.197,0,0,0
1672182012.732,5.24,6.1976,0,0,0
1672182612.723,4.38,6.2215,0,0,0
1672183212.587,5.58,6.2033,0,0,0
1672183812.577,3.52,6.2368,0,0,0
1672184412.594,4.22,6.2385,0,0,0
1672185012.51,5.26,6.2227,0,0,0
1672185612.558,4.2,6.207000000000001,0,0,0
1672186212.567,5.05,6.1979,0,0,0
1672186812.578,4.13,6.1719,0,0,0
1672187412.566,5.79,6.2148,0,0,0
1672188012.546,5.96,6.1704,0,0,0
1672188612.566,4.98,6.1473,0,0,0
1672189212.565,4.88,6.0933,0,0,0
1672189812.597,4.05,6.1578,0,0,0
1672190412.575,4.7,6.1857,0,0,0
1672191012.597,5.6,6.2176,0,0,0
1672191612.595,5.92,6.212999999999999,0,0,0
1672192212.593,5.68,6.1836,0,0,0
1672192812.598,5.89,6.1816,0,0,0
1672193412.58,4.82,6.1803,0,0,0
1672194012.569,5.16,6.1833,0,0,0
1672194612.585,4.99,6.1709,0,0,0
1672195212.603,4.52,6.1622,0,0,0
1672195812.595,4.4,6.1643,0,0,0
1672196412.595,4.32,6.0864,0,0,0
1672197012.577,4.37,6.1582,0,0,0
1672197612.596,4.22,6.1765,0,0,0
1672198212.612,4.41,6.1583,0,0,0
1672198812.57,4.42,6.1655,0,0,0
1672199427.874,3.48,,0,0,1
1672200012.632,4.07,6.1306,0,0,0
1672200612.597,3.92,6.1537,0,0,0
1672201212.647,4.45,6.1212,0,0,0
1672201812.619,4.16,6.1205,0,0,0
1672202412.632,4.65,6.1272,0,0,0
1672203012.656,4.76,6.1196,0,0,0
1672203612.594,4.05,6.1868,0,0,0
1672204212.554,3.9,6.1763,0,0,0
1672204812.592,3.53,6.1328,0,0,0
1672205412.6,4.25,6.1358,0,0,0
1672206027.937,4.84,,0,0,1
1672206612.677,4.46,6.2144,0,0,0
1672207227.904,4.08,,0,0,1
1672207827.975,3.92,,0,0,1
1672208412.652,3.56,6.1678,0,0,0
1672209012.594,4.39,6.1539,0,0,0
1672209612.584,3.98,6.0896,0,0,0
1672210212.605,5.05,6.0986,0,0,0
1672210812.585,4.28,6.1637,0,0,0
1672211412.605,4.71,6.1469,0,0,0
1672212012.617,4.72,6.1322,0,0,0
1672212612.593,4.92,6.1214,0,0,0
1672213212.539,4.54,6.1294,0,0,0
1672213812.529,5.53,6.1138,0,0,0
1672214412.629,5.9,6.1388,0,0,0
1672215012.654,5.69,6.1844,0,0,0
1672215627.877,6.05,,0,0,1
1672216212.594,5.82,6.1843,0,0,0
1672216812.605,6.83,6.1633,0,0,0
1672217412.66,6.11,6.1684,0,0,0
1672218012.566,6.42,6.199,0,0,0
1672218612.645,4.84,6.1704,0,0,0
1672219212.604,5.44,6.1799,0,0,0
1672219812.597,4.85,6.1859,0,0,0
1672220412.612,4.27,6.1918,0,0,0
1672221012.574,4.79,6.2097,0,0,0
1672221612.651,5.25,6.2056,0,0,0
1672222212.537,4.51,6.1842,0,0,0
1672222812.612,5.54,6.2201,0,0,0
1672223427.954,6,,0,0,1
1672224012.665,6.08,6.2765,0,0,0
1672224612.645,5.94,6.2593,0,0,0
1672225212.687,6.09,6.2862,0,0,0
1672225812.637,5.93,6.3114,0,0,0
1672226412.694,6.11,6.3188,0,0,0
1672227012.617,5.96,6.3294,0,0,0
1672227627.983,6.09,,0,0,1
1672228212.635,7.06,6.3475,0,0,0
1672228812.607,8.64,6.3641,0,0,0
1672229412.575,9.31,6.364,0,0,0
1672230012.606,8.4,6.392,0,0,0
1672230612.605,11,6.4033,0,0,0
1672231212.649,12.99,6.4091,0,0,0
1672231812.577,9.52,6.3569,0,0,0
1672232412.647,7.14,6.3324,0,0,0
1672233012.585,6.75,6.3025,0,0,0
1672233612.594,7.43,6.2804,0,0,0
1672234212.587,8.24,6.2727,0,0,0
1672234812.605,6.15,6.2477,0,0,0
1672235427.943,6.71,,0,0,1
1672236012.597,6.37,6.2339,0,0,0
1672236612.608,6.6,6.2124,0,0,0
1672237212.595,5.93,6.202000000000001,0,0,0
1672237812.576,5.5,6.1955,0,0,0
1672238412.569,6.46,6.1991,0,0,0
1672239028.9,6.14,,0,0,1
1672239612.661,6.6,6.1963,0,0,0
1672240212.604,5.04,6.1552,0,0,0
1672240812.547,6.2,6.2214,0,0,0
1672241412.587,5.61,6.2084,0,0,0
1672242012.517,5.3,6.1342,0,0,0
1672242612.649,5.93,6.209,0,0,0
1672243212.601,5.77,6.1456,0,0,0
1672243812.637,5.66,6.1169,0,0,0
1672244412.598,5.33,6.1798,0,0,0
1672245012.665,5,6.1527,0,0,0
1672245612.657,5.64,6.0994,0,0,0
1672246212.535,4.81,6.1491,0,0,0
1672246812.576,4.88,6.1452,0,0,0
1672247412.6,4.75,6.1748,0,0,0
1672248012.641,4.92,6.186,0,0,0
1672248612.617,4.91,6.1431,0,0,0
1672249212.622,4.13,6.1626,0,0,0
1672249812.603,5.2,6.164,0,0,0
1672250412.603,4.84,6.1463,0,0,0
1672251012.549,5.57,6.1562,0,0,0
1672251612.617,5.79,6.1768,0,0,0
1672252212.606,5.01,6.1443,0,0,0
1672252812.613,4.93,6.0924,0,0,0
1672253412.582,4.66,6.1169,0,0,0
1672254012.627,5.05,6.1034,0,0,0
1672254612.651,5.64,6.1123,0,0,0
1672255212.624,6.08,6.0684,0,0,0
1672255812.631,6.01,6.1139,0,0,0
1672256412.65,5.72,6.1528,0,0,0
1672257012.559,6.14,6.1466,0,0,0
1672257612.615,6.7,6.1417,0,0,0
1672258212.567,6.76,6.1571,0,0,0
1672258812.566,7.48,6.1562,0,0,0
1672259412.604,7.46,6.138,0,0,0
1672260012.603,6.99,6.1479,0,0,0
1672260612.646,7.94,6.1471,0,0,0
1672261212.635,6.72,6.1532,0,0,0
1672261812.607,6.8,6.1535,0,0,0
1672262412.607,6.56,6.1561,0,0,0
1672263012.589,7.84,6.157,0,0,0
1672263612.597,7.49,6.1548,0,0,0
1672264227.944,6.91,,0,0,1
1672264812.584,6.98,6.138,0,0,0
1672265412.643,6.53,6.1503,0,0,0
1672266012.579,6.56,6.1536,0,0,0
1672266612.607,6.43,6.135,0,0,0
1672267212.555,6.51,6.1328,0,0,0
1672267812.661,6.88,6.1378,0,0,0
1672268412.678,7.81,6.1283,0,0,0
