x,datetime,bulk_temp,skin_temp,air_temp,wind_speed,air_pressure,relative_humidity,solar_irradiance,meteo_timestamp,Quality
1671134412.61,2022-12-15 21:00:12.610,7.111921592772844,5.598321603038322,0.7610078933489093,3.4927777761111085,915.3467939010824,100.0,0.1375328023216322,1671134401.302,0
1671135012.662,2022-12-15 21:10:12.662,7.2907110064272995,4.948890555188521,0.7101597303147734,3.368069445416675,915.4339761044748,100.0,0.1125092618319908,1671135001.263,0
1671135612.636,2022-12-15 21:20:12.636,7.1651214277271364,5.7406770275486325,0.6789749965638893,3.1545499953611,915.5350555555566,100.0,0.1050000000000011,1671135601.271,0
1671136212.655,2022-12-15 21:30:12.655,7.195652415710767,5.798431975464721,0.658208331930555,3.1383194426388834,915.6101388888892,100.0,0.1083333333333333,1671136201.3,0
1671136812.663,2022-12-15 21:40:12.663,7.176719321886858,5.479255994625717,0.6491944423888891,2.7644710411534743,915.6498611111116,100.0,0.1388888888888883,1671136801.344,0
1671137412.634,2022-12-15 21:50:12.634,7.298726072760268,5.329559418576909,0.684458334666665,2.04429064059125,915.625833333335,100.0,0.0263888888888889,1671137401.344,0
1671138012.598,2022-12-15 22:00:12.598,7.045446326739683,5.851993491203932,0.7227695374903474,2.156194445750008,915.6455673258,100.0,0.0569444444444447,1671138001.333,0
1671138612.606,2022-12-15 22:10:12.606,7.176395608551092,4.972005803741858,0.6708333341805549,2.086499999361117,915.7234722222224,100.0,0.044444444444445,1671138601.323,0
1671139212.636,2022-12-15 22:20:12.636,7.288577148908771,5.507248122549639,0.6551388853333332,2.058166666527792,915.9254166666664,100.0,0.0513888888888895,1671139201.307,0
1671139812.594,2022-12-15 22:30:12.594,7.447195860061351,4.953376122202313,0.7034861037916667,1.402986109111114,916.019166666666,100.0,0.0027777777777777,1671139801.309,0
1671140412.556,2022-12-15 22:40:12.556,7.098694283847342,5.364933767330376,0.7483611125694433,1.0742735307146516,916.0376388888884,100.0,0.0,1671140401.286,0
1671141012.612,2022-12-15 22:50:12.612,7.293643885268562,4.875808464355015,0.9402361068888884,0.537965630902215,916.1366666666668,100.0,0.0180555555555552,1671141001.292,0
1671142212.651,2022-12-15 23:10:12.651,6.896853996558233,5.0852124345688265,0.9431527691527783,1.781541662847225,915.8451388888892,100.0,0.0013888888888889,1671142201.271,0
1671143412.648,2022-12-15 23:30:12.648,6.884816326940124,5.427518272732799,0.8313749947361125,2.822388889444459,916.130694444445,100.0,0.0291666666666669,1671143401.273,0
1671144012.606,2022-12-15 23:40:12.606,7.169218265802347,5.184139136520674,0.8880416633472233,2.3232308030499165,916.30986111111,100.0,0.1027777777777778,1671144001.278,0
1671144612.698,2022-12-15 23:50:12.698,7.482815367053507,5.194722880159806,0.920629425352066,1.7609593515421331,916.2703108888268,100.0,0.0250000000000003,1671144601.455,0
1671145212.726,2022-12-16 00:00:12.726,7.411092256804351,5.081720472499158,0.9793968472235258,1.9691805587500089,916.1732252014434,100.0,0.0138888888888889,1671145201.343,0
1671145812.704,2022-12-16 00:10:12.704,6.940894714581332,5.0072204592919185,1.0491805513888917,2.4644295617076413,916.116666666666,100.0,0.0875000000000005,1671145801.462,0
1671146412.72,2022-12-16 00:20:12.720,7.062507578556875,5.211635673079069,0.9952371000456416,2.7765796250394668,916.1618055555558,100.0,0.0731150793650802,1671146401.441,0
1671147012.595,2022-12-16 00:30:12.595,7.388177704392248,4.97516189431705,0.8353472252777775,3.190779426139359,916.33,100.0,0.0583333333333333,1671147001.281,0
1671147612.609,2022-12-16 00:40:12.609,7.265203016714079,5.299766198165523,0.6955256623759407,3.011361110833333,916.4536158192092,100.0,0.0930555555555547,1671147601.286,0
1671148212.568,2022-12-16 00:50:12.568,7.079930376060439,4.839859318866549,0.3385014385105358,3.2013730773275757,916.446853448276,100.0,0.052011494252873,1671148201.274,0
1671148812.593,2022-12-16 01:00:12.593,7.113413625131395,5.556607274242982,0.3438903261077583,3.0054425237164666,916.5554645593868,100.0,0.1159003831417619,1671148801.282,0
1671149412.602,2022-12-16 01:10:12.602,6.960653958194324,5.385898335470445,0.3476527791666675,3.0112777790277754,916.4601388888892,100.0,0.2430555555555558,1671149401.276,0
1671150012.626,2022-12-16 01:20:12.626,7.288417144954303,5.4031446392362446,0.3540972222638891,3.635270433230725,916.4097222222224,100.0,0.4500000000000009,1671150001.278,0
1671150612.599,2022-12-16 01:30:12.599,7.054967615287745,4.892056151621932,0.3027500004208349,3.224801734306533,916.42125,100.0,0.3597222222222222,1671150601.268,0
1671151212.66,2022-12-16 01:40:12.660,7.160819233507195,4.984657196871857,0.3901694090597625,3.3005138880555585,916.4349143666442,100.0,0.487150365842365,1671151201.319,0
1671151812.629,2022-12-16 01:50:12.629,7.2789326974220545,5.118846242840399,0.4884166654027774,3.4448611120833337,916.5684722222215,100.0,0.2444444444444439,1671151801.294,0
1671152412.547,2022-12-16 02:00:12.547,7.3571115743314985,4.925504781639788,0.5314166662916657,3.2374444405555507,916.6427777777776,100.0,0.1499999999999997,1671152401.275,0
1671153012.596,2022-12-16 02:10:12.596,7.266697584610334,4.803765898434582,0.5367638864722216,3.449263893055542,916.7786111111092,100.0,0.0861111111111111,1671153001.271,0
