x,skin_temp,bulk_temp,datetime,air_temp,wind_speed,air_pressure,relative_humidity,solar_irradiance,meteo_timestamp
1678756812.673,5.61,4.5205,2023-03-14 02:20:12.673,6.664222212638891,5.847710219788135,920.0770833333336,86.29027777777783,1.0847222222222193,1678756801.24
1678757412.596,5.83,4.5224,2023-03-14 02:30:12.596,7.174978078258008,4.017875963907767,920.2206167608274,83.094209039548,1.809722222222217,1678757401.271
1678758012.604,5.83,4.5221,2023-03-14 02:40:12.604,7.132833437309742,5.848518685461691,919.7012249983768,82.68573202805383,1.0272030651341002,1678758001.252
1678758612.574,5.32,4.5232,2023-03-14 02:50:12.574,7.00702777930556,3.4627083277777837,919.8512500000008,84.80833333333334,0.9902777777777776,1678758601.393
1678759212.589,5.55,4.5202,2023-03-14 03:00:12.589,6.593611080138884,1.3759028911443407,919.9183333333348,89.5944444444445,0.3680555555555551,1678759201.461
1678759812.646,5.36,4.5183,2023-03-14 03:10:12.646,6.509798466188951,1.1372361117111112,919.9041927927518,91.16329767528016,0.2740348399246708,1678759801.442
1678760412.684,5.63,4.5184,2023-03-14 03:20:12.684,6.506255852565783,1.7231481893218332,919.8872660818716,92.4798245614036,0.4583333333333327,1678760401.395
1678761012.663,5.52,4.5195,2023-03-14 03:30:12.663,7.206391747299899,3.1048888842083424,919.7802636534834,84.07540018832401,0.8319444444444466,1678761001.333
1678761612.616,5.9,4.518,2023-03-14 03:40:12.616,6.741780634397366,1.4889999979027666,919.4027384149924,89.5460695100491,0.0236111111111108,1678761601.242
1678762212.587,4.98,4.5185,2023-03-14 03:50:12.587,6.200249999583325,1.4863888892777728,919.1768055555548,91.59861111111108,0.0069444444444444,1678762201.233
1678762827.952,4.79,,2023-03-14 04:00:27.952,6.379833334444442,1.5049583331944498,919.3291666666674,89.22916666666657,0.1999999999999997,1678762801.236
1678763412.592,5.13,4.5146,2023-03-14 04:10:12.592,6.200888925972208,1.606801793355225,919.1447222222226,93.74444444444453,0.0694444444444445,1678763401.263
1678764012.576,5.0,4.5123,2023-03-14 04:20:12.576,6.03669446569445,1.9311906794802327,918.9759722222224,94.56666666666672,0.0138888888888891,1678764001.252
1678764627.922,5.83,,2023-03-14 04:30:27.922,5.9348401734934,1.6319861076666644,918.628556967985,95.80277777777783,0.0,1678764601.285
1678765212.646,5.67,4.5053,2023-03-14 04:40:12.646,5.862902748194434,0.6746666647027726,918.5634722222215,96.75833333333344,0.0,1678765201.276
1678765812.648,4.94,4.5,2023-03-14 04:50:12.648,5.795819378333333,0.6849166657708275,918.497083333334,96.67777777777782,0.0,1678765801.36
1678766412.645,4.63,4.5039,2023-03-14 05:00:12.645,5.703791664861108,1.3479583322500002,918.4702777777766,96.78888888888882,0.0347222222222225,1678766401.284
1678767012.636,5.74,4.4882,2023-03-14 05:10:12.636,5.716652798888884,0.9498785305987584,918.42125,95.836111111111,0.0750000000000003,1678767001.244
1678767612.528,4.48,4.4991,2023-03-14 05:20:12.528,5.627958759842284,1.1855833331444443,918.3386770244808,95.74999999999991,0.0236111111111108,1678767601.262
1678768227.99,4.62,,2023-03-14 05:30:27.990,5.5750189709025255,0.7467083317347217,918.1751099070724,95.43611111111107,0.0222222222222222,1678768201.237
1678768812.638,5.63,4.5108,2023-03-14 05:40:12.638,5.616236163472233,0.9976527774930608,918.0341666666682,94.20972222222215,0.0611111111111105,1678768801.249
