x,y,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,y11,y12,y13,y14,y15,y16,y17
1668988800,9.07,69.82,0.001,5.9510000000000005,246.5,0,973,0,0,0,0,0,0,0,0,0,0,0
1668989400,9.21,67.86,0.001,6.886,239.2,0,973,0,0,0,0,0,0,0,0,0,0,0
1668990000,9.15,62.11,0.001,6.581,225.8,0,972,0,0,0,0,0,0,0,0,0,0,0
1668990600,9.09,66.47,0.001,5.74,209,0,972,0,0,0,0,0,0,0,0,0,0,0
1668991200,8.97,69.29,0.001,7.242000000000001,198.6,0,972,0,0,0,0,0,0,0,0,0,0,0
1668991800,8.93,66.61,0.001,7.379,214,0,972,0,0,0,0,0,0,0,0,0,0,0
1668992400,9.18,63.83,0.001,8.02,215.6,0,972,0,0,0,0,0,0,0,0,0,0,0
1668993000,9.19,66.12,0.001,7.301,216.4,0,972,0,0,0,0,0,0,0,0,0,0,0
1668993600,9.12,65.57,0.001,7.169,209.6,0,972,0,0,0,0,0,0,0,0,0,0,0
1668994200,9.13,67.37,0.001,8.01,214.4,0,972,0,0,0,0,0,0,0,0,0,0,0
1668994800,8.73,80.5,0.001,5.048,264.6,0,972,0,0,0,0,0,0,0,0,0,0,0
1668995400,7.895,82.8,0.001,4.132,287.9,0,972,0,0,0,0,0,0,0,0,0,0,0
1668996000,8.08,83.5,0.001,4.314,280.2,0,971,0,0,0,0,0,0,0,0,0,0,0
1668996600,8.69,70.46,0.001,6.121,251.1,0,971,0,0,0,0,0,0,0,0,0,0,0
1668997200,9.2,70.88,0.001,7.947,239.4,0,971,0,0,0,0,0,0,0,0,0,0,0
1668997800,9.27,70.41,0.001,7.521,239.9,0,971,0,0,0,0,0,0,0,0,0,0,0
1668998400,9.15,65.62,0.001,7.024,233.8,0,971,0,0,0,0,0,0,0,0,0,0,0
1668999000,9.23,65.43,0.001,5.922000000000001,223.3,0,971,0,0,0,0,0,0,0,0,0,0,0
1668999600,9.31,66.78,0.001,5.603,221,0,971,0,0,0,0,0,0,0,0,0,0,0
1669000200,9.19,75.21,0.001,5.182,242.3,0,971,0,0,0,0,0,0,0,0,0,0,0
1669000800,8.27,81.7,0.001,4.258,287.2,0,970,0,0,0,0,0,0,0,0,0,0,0
1669001400,8.19,82.7,0.001,4.922,277.3,0,970,0,0,0,0,0,0,0,0,0,0,0
1669002000,8.65,82.8,0.001,5.278,263.1,0,970,0,0,0,0,0,0,0,0,0,0,0
1669002600,8.03,84.4,0.001,4.934,283.7,0,970,0,0,0,0,0,0,0,0,0,0,0
1669003200,7.875,82.3,0.001,4.624,283.3,0,970,0,0,0,0,0,0,0,0,0,0,0
1669003800,7.831,82.4,0.001,5.122000000000001,284.1,0,970,0,0,0,0,0,0,0,0,0,0,0
1669004400,7.8839999999999995,82.6,0.001,4.258,274.7,0,970,0,0,0,0,0,0,0,0,0,0,0
1669005000,7.944,82,0.001,5.233,268.8,0,970,0,0,0,0,0,0,0,0,0,0,0
1669005600,8.11,81,0.001,7.185,260.9,0,970,0,0,0,0,0,0,0,0,0,0,0
1669006200,8.21,81.4,0.001,7.656000000000001,258.1,0,970,0,0,0,0,0,0,0,0,0,0,0
1669006800,8.34,79.79,0.001,7.191,253.7,0,970,0,0,0,0,0,0,0,0,0,0,0
1669007400,8.47,79.19,0.001,7.245,246.6,0,970,0,0,0,0,0,0,0,0,0,0,0
1669008000,8.43,78.08,0.001,8.87,235,0,969,0,0,0,0,0,0,0,0,0,0,0
1669008600,8.36,79.46,0.001,7.306,241.2,0,969,0,0,0,0,0,0,0,0,0,0,0
1669009200,8.28,77.32,0.001,6.379,249.7,0,969,0,0,0,0,0,0,0,0,0,0,0
1669009800,8.18,79.57,0.001,7.059,246.8,0,969,0,0,0,0,0,0,0,0,0,0,0
1669010400,8.35,79.82,0.002,5.657,256,0,969,0,0,0,0,0,0,0,0,0,0,0
1669011000,8.38,79.32,0.006999999999999999,3.895,275.2,0,969,0,0,0,0,0,0,0,0,0,0,0
1669011600,7.77,83.1,0.083,4.586,301.7,0,969,0,0,0,0,0,0,0,0,0,0,0
1669012200,8.06,83.3,0.484,3.863,286.7,0,969,0,0,0,0,0,0,0,0,0,0,0
1669012800,8.16,82,2.133,3.125,275,0,969,0,0,0,0,0,0,0,0,0,0,0
1669013400,8.19,80.8,5.336,3.071,266.1,0,969,0,0,0,0,0,0,0,0,0,0,0
1669014000,8.2,76.94,12.7,4.269,233.3,0,968,0,0,0,0,0,0,0,0,0,0,0
1669014600,8.09,78.17,30.65,4.218,245.5,0,968,0,0,0,0,0,0,0,0,0,0,0
1669015200,7.941,75.7,32.96,3.4560000000000004,247.5,0,968,0,0,0,0,0,0,0,0,0,0,0
1669015800,8.45,64.14,4.519,5.42,246.5,0,968,0,0,0,0,0,0,0,0,0,0,0
1669016400,8.45,65.42,36.43,4.8919999999999995,252,0,968,0,0,0,0,0,0,0,0,0,0,0
1669017000,8.44,67.81,60.59,4.075,254.6,0,968,0,0,0,0,0,0,0,0,0,0,0
1669017600,8.47,68.14,69.34,3.275,259.2,0,968,0,0,0,0,0,0,0,0,0,0,0
1669018200,8.68,67.96,81.4,4.323,237.4,0,968,0,0,0,0,0,0,0,0,0,0,0
1669018800,8.75,64.16,65.15,3.878,210.8,0,967,0,0,0,0,0,0,0,0,0,0,0
1669019400,8.67,68.03,74.22,2.331,221.8,0,967,0,0,0,0,0,0,0,0,0,0,0
1669020000,8.51,67.89,139.1,2.244,221.6,0,967,0,0,0,0,0,0,0,0,0,0,0
1669020600,8.32,68.54,160.6,1.8090000000000002,254.5,0,967,0,0,0,0,0,0,0,0,0,0,0
1669021200,8.16,69.64,139.7,1.443,287.2,0,966,0,0,0,0,0,0,0,0,0,0,0
1669021800,8.06,70.41,173.3,1.871,303.3,0,966,0,0,0,0,0,0,0,0,0,0,0
1669022400,8.03,72.21,218.4,1.67,309.4,0,966,0,0,0,0,0,0,0,0,0,0,0
1669023000,8.05,78.86,131.4,2.069,280.4,0,966,0,0,0,0,0,0,0,0,0,0,0
1669023600,7.79,79.45,269.1,2.395,280.7,0,965,0,0,0,0,0,0,0,0,0,0,0
1669024200,7.7,78.25,322,2.309,274,0,965,0,0,0,0,0,0,0,0,0,0,0
1669024800,7.774,78.13,350.9,2.365,271.5,0,965,0,0,0,0,0,0,0,0,0,0,0
1669025400,7.85,75.43,371.5,2.191,278.8,0,965,0,0,0,0,0,0,0,0,0,0,0
1669026000,8.02,75.01,271.3,2.104,267.2,0,965,0,0,0,0,0,0,0,0,0,0,0
1669026600,8.14,72.16,231.9,2.171,263,0,964,0,0,0,0,0,0,0,0,0,0,0
1669027200,8.2,70.35,253.5,1.609,257.1,0,964,0,0,0,0,0,0,0,0,0,0,0
1669027800,8.23,69.37,235,0.975,267.4,0,964,0,0,0,0,0,0,0,0,0,0,0
1669028400,8.21,68.93,245.2,1.237,241,0,963,0,0,0,0,0,0,0,0,0,0,0
1669029000,8.36,66.61,203.5,0.7,241.8,0,963,0,0,0,0,0,0,0,0,0,0,0
1669029600,8.4,67.65,202,1.5619999999999998,252.1,0,963,0,0,0,0,0,0,0,0,0,0,0
1669030200,8.52,67.22,215.8,2.0469999999999997,246.8,0,962,0,0,0,0,0,0,0,0,0,0,0
1669030800,8.53,69.79,235.2,1.094,255.4,0,962,0,0,0,0,0,0,0,0,0,0,0
1669031400,8.49,67.12,226.5,0.64,271.9,0,962,0,0,0,0,0,0,0,0,0,0,0
1669032000,8.61,67.36,228.4,0.6779999999999999,236.9,0,962,0,0,0,0,0,0,0,0,0,0,0
1669032600,8.58,68.14,223.6,1.296,227.4,0,961,0,0,0,0,0,0,0,0,0,0,0
1669033200,8.55,67.99,217.3,1.8780000000000001,230.2,0,961,0,0,0,0,0,0,0,0,0,0,0
1669033800,8.65,66.78,231.4,3.134,234.7,0,961,0,0,0,0,0,0,0,0,0,0,0
1669034400,8.82,69.03,201.5,1.9369999999999998,248.2,0,961,0,0,0,0,0,0,0,0,0,0,0
1669035000,8.78,70.15,184,2.414,243.5,0,961,0,0,0,0,0,0,0,0,0,0,0
1669035600,8.76,73.74,160.8,1.598,261.5,0,960,0,0,0,0,0,0,0,0,0,0,0
