x,y,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,y11,y12,y13,y14,y15,y16,y17
1640563200,7.196000000000001,86.6,0.001,2.9730000000000003,119,0,964,0,0,0,0,0,0,0,0,0,0,0
1640563800,7.12,88.2,0.001,3.4939999999999998,117.4,0,964,0,0,0,0,0,0,0,0,0,0,0
1640564400,7.039,87.8,0.001,3.273,112.6,0,964,0,0,0,0,0,0,0,0,0,0,0
1640565000,7.042000000000001,86.5,0.001,2.698,110.3,0,964,0,0,0,0,0,0,0,0,0,0,0
1640565600,7.1129999999999995,82.8,0.001,3.5669999999999997,122.3,0,964,0,0,0,0,0,0,0,0,0,0,0
1640566200,7.077000000000001,85.4,0.001,3.7030000000000003,122,0,964,0,0,0,0,0,0,0,0,0,0,0
1640566800,6.897,87.1,0.001,3.141,114.6,0,964,0,0,0,0,0,0,0,0,0,0,0
1640567400,6.736000000000001,88.3,0.001,1.6059999999999999,78.15,0,963,0,0,0,0,0,0,0,0,0,0,0
1640568000,6.495,88.9,0.001,0.629,30.51,0,964,0,0,0,0,0,0,0,0,0,0,0
1640568600,6.153,91.4,0.001,0.693,43.8,0,963,0,0,0,0,0,0,0,0,0,0,0
1640569200,5.9079999999999995,90.3,0.001,1.2590000000000001,50.82,0,963,0,0,0,0,0,0,0,0,0,0,0
1640569800,6.027,88.5,0.001,1.359,24.68,0,963,0,0,0,0,0,0,0,0,0,0,0
1640570400,5.7620000000000005,89.7,0.001,1.456,32.37,0,963,0,0,0,0,0,0,0,0,0,0,0
1640571000,5.454,90.2,0.001,2.023,18.55,0,963,0,0,0,0,0,0,0,0,0,0,0
1640571600,5.44,90.5,0.001,1.797,13.44,0,963,0,0,0,0,0,0,0,0,0,0,0
1640572200,5.667000000000001,90.3,0.001,0.985,351.6,0,963,0,0,0,0,0,0,0,0,0,0,0
1640572800,5.651,90.1,0.001,0.26,359.1,0,963,0,0,0,0,0,0,0,0,0,0,0
1640573400,5.572,90.4,0.001,0.503,27.82,0,963,0,0,0,0,0,0,0,0,0,0,0
1640574000,5.58,89.3,0.001,1.217,19.19,0,963,0,0,0,0,0,0,0,0,0,0,0
1640574600,5.645,88.3,0.001,1.496,11.15,0,963,0,0,0,0,0,0,0,0,0,0,0
1640575200,5.17,89.4,0.001,1.86,40.26,0,963,0,0,0,0,0,0,0,0,0,0,0
1640575800,4.989,89.2,0.001,2.082,39.49,0,963,0,0,0,0,0,0,0,0,0,0,0
1640576400,5.037,89.5,0.001,1.705,25.87,0,963,0,0,0,0,0,0,0,0,0,0,0
1640577000,5.015,89.7,0.001,1.8730000000000002,19.11,0,963,0,0,0,0,0,0,0,0,0,0,0
1640577600,4.91,89.5,0.001,1.9169999999999998,24.21,0,963,0,0,0,0,0,0,0,0,0,0,0
1640578200,4.841,89.8,0.001,1.686,21.15,0,962,0,0,0,0,0,0,0,0,0,0,0
1640578800,4.698,89.8,0.001,1.541,23.85,0,962,0,0,0,0,0,0,0,0,0,0,0
1640579400,4.766,90,0.001,1.54,11.58,0,962,0,0,0,0,0,0,0,0,0,0,0
1640580000,4.824,90.7,0.001,1.252,9.52,0,962,0,0,0,0,0,0,0,0,0,0,0
1640580600,5.062,90.3,0.001,1.216,6.718999999999999,0,962,0,0,0,0,0,0,0,0,0,0,0
1640581200,5.046,89.5,0.002,1.952,17.22,0,962,0,0,0,0,0,0,0,0,0,0,0
1640581800,4.745,89.6,0.001,1.974,11.6,0,962,0,0,0,0,0,0,0,0,0,0,0
1640582400,4.665,89.5,0.001,2.282,25.57,0,962,0,0,0,0,0,0,0,0,0,0,0
1640583000,4.771,89,0.001,2.084,31.43,0,962,0,0,0,0,0,0,0,0,0,0,0
1640583600,4.87,89.5,0.001,1.845,40.8,0,962,0,0,0,0,0,0,0,0,0,0,0
1640584200,4.928,89.7,0.001,1.527,23.25,0,962,0,0,0,0,0,0,0,0,0,0,0
1640584800,4.968999999999999,90.1,0.001,1.48,19.52,0,962,0,0,0,0,0,0,0,0,0,0,0
1640585400,4.93,89.5,0.001,2.148,29.23,0,961,0,0,0,0,0,0,0,0,0,0,0
1640586000,5.096,90.1,0.001,1.706,8.26,0,961,0,0,0,0,0,0,0,0,0,0,0
1640586600,5.2410000000000005,89.9,0.002,1.33,13.01,0,961,0,0,0,0,0,0,0,0,0,0,0
1640587200,5.122000000000001,90.1,0.008,1.784,15.18,0,961,0,0,0,0,0,0,0,0,0,0,0
1640587800,5.078,89.5,0.062,1.807,30.91,0,961,0,0,0,0,0,0,0,0,0,0,0
1640588400,5.167999999999999,88.9,0.309,1.514,6.875,0,961,0,0,0,0,0,0,0,0,0,0,0
1640589000,5.033,88.5,1.1440000000000001,1.726,45.1,0,961,0,0,0,0,0,0,0,0,0,0,0
1640589600,5.079,87.5,2.263,1.198,29.5,0,961,0,0,0,0,0,0,0,0,0,0,0
1640590200,5.324,87.8,3.299,1.126,349.7,0,961,0,0,0,0,0,0,0,0,0,0,0
1640590800,5.345,88.3,6.43,1.3419999999999999,36.79,0,961,0,0,0,0,0,0,0,0,0,0,0
1640591400,5.149,88,11.35,1.788,37.4,0,961,0,0,0,0,0,0,0,0,0,0,0
1640592000,5.41,87.9,16.13,1.358,8.67,0,961,0,0,0,0,0,0,0,0,0,0,0
1640592600,5.376,89,19.66,1.151,11.41,0,961,0,0,0,0,0,0,0,0,0,0,0
1640593200,5.367000000000001,89.1,22.62,0.948,21.05,0,961,0,0,0,0,0,0,0,0,0,0,0
1640593800,5.513999999999999,89.5,25.63,0.6459999999999999,345.9,0,961,0,0,0,0,0,0,0,0,0,0,0
1640594400,5.845,88.3,31.07,0.9209999999999999,34.2,0,962,0,0,0,0,0,0,0,0,0,0,0
1640595000,5.632999999999999,88.4,33.53,1.3730000000000002,52.71,0,962,0,0,0,0,0,0,0,0,0,0,0
1640595600,5.777,88.2,39.41,1.305,38.85,0,962,0,0,0,0,0,0,0,0,0,0,0
1640596200,5.7410000000000005,88.5,51.5,1.0390000000000001,23.07,0,962,0,0,0,0,0,0,0,0,0,0,0
1640596800,5.917999999999999,88.9,55.7,0.919,17.15,0,962,0,0,0,0,0,0,0,0,0,0,0
1640597400,6.165,88.4,62.72,0.24,335.9,0,962,0,0,0,0,0,0,0,0,0,0,0
1640598000,6.447,86.5,70.18,0.7759999999999999,355.1,0,962,0,0,0,0,0,0,0,0,0,0,0
1640598600,6.303999999999999,87.8,70.54,0.754,54.82,0,962,0,0,0,0,0,0,0,0,0,0,0
1640599200,6.329,86.4,62.24,0.93,48.19,0,962,0,0,0,0,0,0,0,0,0,0,0
1640599800,6.5360000000000005,89.6,66.55,1.036,326.7,0,962,0,0,0,0,0,0,0,0,0,0,0
1640600400,6.928999999999999,91.8,89.1,2.435,250.3,0,962,0,0,0,0,0,0,0,0,0,0,0
1640601000,6.817,93.2,105.1,2.725,259.2,0,961,0,0,0,0,0,0,0,0,0,0,0
1640601600,6.761,93.7,107.1,2.572,257,0,961,0,0,0,0,0,0,0,0,0,0,0
1640602200,6.643,94.2,105.2,2.102,263.9,0,961,0,0,0,0,0,0,0,0,0,0,0
1640602800,6.646,94.3,88,2.935,261.7,0,961,0,0,0,0,0,0,0,0,0,0,0
1640603400,6.694,94.2,76.36,3.398,262.1,0,961,0,0,0,0,0,0,0,0,0,0,0
1640604000,6.649,94.2,87.3,2.214,262.4,0,961,0,0,0,0,0,0,0,0,0,0,0
1640604600,6.482,93.9,52.38,2.244,269.7,0,961,0,0,0,0,0,0,0,0,0,0,0
1640605200,6.381,93.8,62.59,1.9509999999999998,277.5,0,961,0,0,0,0,0,0,0,0,0,0,0
1640605800,6.537000000000001,92.8,92.1,2.127,293.2,0,961,0,0,0,0,0,0,0,0,0,0,0
1640606400,6.559,92,111.9,1.526,291.8,0,961,0,0,0,0,0,0,0,0,0,0,0
1640607000,6.775,90.8,96.7,2.041,288.8,0,961,0,0,0,0,0,0,0,0,0,0,0
1640607600,7.244,90.1,72.16,3.255,269,0,961,0,0,0,0,0,0,0,0,0,0,0
1640608200,7.534,90.4,81.1,4.332,271.3,0,961,0,0,0,0,0,0,0,0,0,0,0
1640608800,7.609,90.7,73.1,4.582,277.1,0,961,0,0,0,0,0,0,0,0,0,0,0
1640609400,7.56,90.8,65.46,4.408,277.9,0,961,0,0,0,0,0,0,0,0,0,0,0
1640610000,7.495,91,57.6,4.685,272.9,0,961,0,0,0,0,0,0,0,0,0,0,0
1640610600,7.256,92.4,39.64,4.937,266.2,0.2,962,0,0,0,0,0,0,0,0,0,0,0
1640611200,7.382000000000001,93.7,21.76,4.516,252.9,0.2,961,0,0,0,0,0,0,0,0,0,0,0
1640611800,7.56,94,14.06,4.599,257.4,0.2,962,0,0,0,0,0,0,0,0,0,0,0
1640612400,7.459,93.7,7.702000000000001,3.658,235.2,0.4,961,0,0,0,0,0,0,0,0,0,0,0
1640613000,7.388999999999999,93,16.82,2.4730000000000003,243.1,0.2,962,0,0,0,0,0,0,0,0,0,0,0
1640613600,7.484,92.3,21.94,1.985,234.9,0.4,961,0,0,0,0,0,0,0,0,0,0,0
1640614200,7.2829999999999995,92.1,22.71,1.015,232.7,0.2,961,0,0,0,0,0,0,0,0,0,0,0
1640614800,7.276,92,19.36,1.835,175.3,0.2,962,0,0,0,0,0,0,0,0,0,0,0
1640615400,7.176,92.6,19.69,2.278,153.7,0,962,0,0,0,0,0,0,0,0,0,0,0
1640616000,7.162000000000001,92.9,11.6,2.117,150.5,0.4,962,0,0,0,0,0,0,0,0,0,0,0
1640616600,7.0760000000000005,93.2,5.952999999999999,2.115,140.7,0.6,962,0,0,0,0,0,0,0,0,0,0,0
1640617200,7.111000000000001,93.6,10.85,2.101,131.4,0.4,962,0,0,0,0,0,0,0,0,0,0,0
1640617800,7.127999999999999,93.5,8.96,2.0669999999999997,143.8,0.2,962,0,0,0,0,0,0,0,0,0,0,0
1640618400,7.1770000000000005,93.4,9.09,2.095,134.7,0,962,0,0,0,0,0,0,0,0,0,0,0
1640619000,7.197,93.3,6.231,2.653,137.4,0.2,962,0,0,0,0,0,0,0,0,0,0,0
1640619600,7.27,93.1,3.895,2.483,126.8,0,963,0,0,0,0,0,0,0,0,0,0,0
1640620200,7.077000000000001,91.9,1.379,3.69,121.9,0,963,0,0,0,0,0,0,0,0,0,0,0
1640620800,7.037000000000001,89.5,0.532,3.5469999999999997,121.6,0,963,0,0,0,0,0,0,0,0,0,0,0
1640621400,7.141,89.2,0.247,2.97,120.5,0,963,0,0,0,0,0,0,0,0,0,0,0
1640622000,7.268,90.1,0.053,1.992,94.8,0,963,0,0,0,0,0,0,0,0,0,0,0
1640622600,7.289,91.5,0.004,1.127,47.5,0,963,0,0,0,0,0,0,0,0,0,0,0
