x,y,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,y11,y12,y13,y14,y15,y16,y17
1616371200,5.247000000000001,60.22,0,4.652,17.87,0,975,0,0,0,0,0,0,0,0,0,0,0
1616371800,5.268,61.96,0,5.617999999999999,16.66,0,975,0,0,0,0,0,0,0,0,0,0,0
1616372400,5.285,61.65,0,5.8629999999999995,16.16,0,975,0,0,0,0,0,0,0,0,0,0,0
1616373000,5.308,62.88,0,4.792,19.4,0,975,0,0,0,0,0,0,0,0,0,0,0
1616373600,5.359,61.07,0,4.415,22.97,0,975,0,0,0,0,0,0,0,0,0,0,0
1616374200,5.414,61.72,0,4.527,20.89,0,975,0,0,0,0,0,0,0,0,0,0,0
1616374800,5.465,61.58,0,4.704,15.31,0,975,0,0,0,0,0,0,0,0,0,0,0
1616375400,5.476,60.49,0,4.462,22.98,0,975,0,0,0,0,0,0,0,0,0,0,0
1616376000,5.489,61,0,4.1930000000000005,22.44,0,975,0,0,0,0,0,0,0,0,0,0,0
1616376600,5.5329999999999995,62.09,0,3.7289999999999996,22.14,0,975,0,0,0,0,0,0,0,0,0,0,0
1616377200,5.441,61.92,0,3.622,29.18,0,975,0,0,0,0,0,0,0,0,0,0,0
1616377800,5.4,60.56,0,3.9760000000000004,15.76,0,975,0,0,0,0,0,0,0,0,0,0,0
1616378400,5.315,61.41,0,4.466,20.83,0,975,0,0,0,0,0,0,0,0,0,0,0
1616379000,5.295,61.92,0,4.077,20.31,0,975,0,0,0,0,0,0,0,0,0,0,0
1616379600,5.329,63.94,0,3.841,19.49,0,975,0,0,0,0,0,0,0,0,0,0,0
1616380200,5.404,63.87,0,4.196000000000001,14.35,0,974,0,0,0,0,0,0,0,0,0,0,0
1616380800,5.3870000000000005,64.82,0,4.67,13.4,0,974,0,0,0,0,0,0,0,0,0,0,0
1616381400,5.39,64.01,0,4.909,14.07,0,974,0,0,0,0,0,0,0,0,0,0,0
1616382000,5.312,65.17,0,6.027,5.3,0,975,0,0,0,0,0,0,0,0,0,0,0
1616382600,5.263999999999999,64.69,0,5.607,6.931,0,975,0,0,0,0,0,0,0,0,0,0,0
1616383200,5.165,65.64,0,3.716,13.86,0,974,0,0,0,0,0,0,0,0,0,0,0
1616383800,5.032,64.55,0,4.824,6.938,0,974,0,0,0,0,0,0,0,0,0,0,0
1616384400,4.9639999999999995,65.75,0,5.435,359.1,0,974,0,0,0,0,0,0,0,0,0,0,0
1616385000,4.888999999999999,65.78,0,4.783,359.2,0,974,0,0,0,0,0,0,0,0,0,0,0
1616385600,4.862,67.96,0,4.775,3.077,0,974,0,0,0,0,0,0,0,0,0,0,0
1616386200,4.793,67.11,0,4.047,8.68,0,974,0,0,0,0,0,0,0,0,0,0,0
1616386800,4.76,66.29,0,5.631,358.6,0,974,0,0,0,0,0,0,0,0,0,0,0
1616387400,4.8180000000000005,66.73,0,6.582999999999999,7.055,0,974,0,0,0,0,0,0,0,0,0,0,0
1616388000,4.841,66.39,0,6.122999999999999,18.6,0,974,0,0,0,0,0,0,0,0,0,0,0
1616388600,4.787,66.73,0,5.622999999999999,18.99,0,975,0,0,0,0,0,0,0,0,0,0,0
1616389200,4.783,67.21,0,5.715,19.04,0,975,0,0,0,0,0,0,0,0,0,0,0
1616389800,4.732,67.21,0,6.024,12.77,0,975,0,0,0,0,0,0,0,0,0,0,0
1616390400,4.698,66.56,0.29600000000000004,5.861000000000001,14.25,0,975,0,0,0,0,0,0,0,0,0,0,0
1616391000,4.715,65.44,2.235,7.82,15.54,0,975,0,0,0,0,0,0,0,0,0,0,0
1616391600,4.681,66.67,6.317,8.26,13.87,0,975,0,0,0,0,0,0,0,0,0,0,0
1616392200,4.626,67.83,12.08,8.02,16.94,0,975,0,0,0,0,0,0,0,0,0,0,0
1616392800,4.62,67.55,27.69,7.362,15.27,0,975,0,0,0,0,0,0,0,0,0,0,0
1616393400,4.606,67.42,49.16,7.91,12.52,0,975,0,0,0,0,0,0,0,0,0,0,0
1616394000,4.6610000000000005,69.26,62.11,8.36,12.23,0,975,0,0,0,0,0,0,0,0,0,0,0
1616394600,4.609,67.55,101.4,8.89,8.91,0,975,0,0,0,0,0,0,0,0,0,0,0
1616395200,4.596,66.7,136.2,8.8,8.07,0,975,0,0,0,0,0,0,0,0,0,0,0
1616395800,4.637,66.8,177.1,8.31,12.36,0,975,0,0,0,0,0,0,0,0,0,0,0
1616396400,4.65,67.96,212.1,8.48,16.22,0,975,0,0,0,0,0,0,0,0,0,0,0
1616397000,4.681,66.19,247.7,9.1,15.78,0,975,0,0,0,0,0,0,0,0,0,0,0
1616397600,4.715,66.02,262.6,8.84,13.7,0,975,0,0,0,0,0,0,0,0,0,0,0
1616398200,4.777,66.53,301.1,8.72,18.9,0,976,0,0,0,0,0,0,0,0,0,0,0
1616398800,4.9510000000000005,64.65,339.1,8.72,16.23,0,975,0,0,0,0,0,0,0,0,0,0,0
1616399400,5.159,63.66,355.2,7.595,26.55,0,975,0,0,0,0,0,0,0,0,0,0,0
1616400000,5.275,64.21,363.8,7.271,23.81,0,975,0,0,0,0,0,0,0,0,0,0,0
1616400600,5.295,63.25,374.7,7.843,36.09,0,976,0,0,0,0,0,0,0,0,0,0,0
1616401200,5.278,63.6,398.7,7.778,32.03,0,976,0,0,0,0,0,0,0,0,0,0,0
1616401800,5.165,64.82,436.9,9.15,31.55,0,976,0,0,0,0,0,0,0,0,0,0,0
1616402400,5.257999999999999,64.86,440.1,8.86,25.32,0,976,0,0,0,0,0,0,0,0,0,0,0
1616403000,5.405,63.39,484.7,7.818,15.06,0,976,0,0,0,0,0,0,0,0,0,0,0
1616403600,5.609,60.46,518.8,7.702999999999999,25.76,0,976,0,0,0,0,0,0,0,0,0,0,0
1616404200,5.575,60.52,525.1,9.24,17.72,0,976,0,0,0,0,0,0,0,0,0,0,0
1616404800,5.851,61,538.6,7.257000000000001,17.57,0,976,0,0,0,0,0,0,0,0,0,0,0
1616405400,5.968999999999999,62.23,547.3,7.3420000000000005,23.01,0,976,0,0,0,0,0,0,0,0,0,0,0
