x,y,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,y11,y12,y13,y14,y15,y16,y17
1631491200,18.3,77.71,0.001,2.397,42.14,0,974,0,0,0,0,0,0,0,0,0,0,0
1631491800,18.32,77.14,0.001,2.29,37.25,0,974,0,0,0,0,0,0,0,0,0,0,0
1631492400,18.24,75.98,0.001,2.483,42.71,0,974,0,0,0,0,0,0,0,0,0,0,0
1631493000,18.26,75.7,0.001,2.762,38.16,0,974,0,0,0,0,0,0,0,0,0,0,0
1631493600,18.39,77.53,0.001,2.276,40.02,0,974,0,0,0,0,0,0,0,0,0,0,0
1631494200,18.24,77.78,0.001,2.259,45.16,0,974,0,0,0,0,0,0,0,0,0,0,0
1631494800,18,78.06,0.001,2.494,41.88,0,974,0,0,0,0,0,0,0,0,0,0,0
1631495400,18.04,78.93,0.001,2.259,37.48,0,974,0,0,0,0,0,0,0,0,0,0,0
1631496000,18.06,80.4,0.001,2.43,46.75,0,974,0,0,0,0,0,0,0,0,0,0,0
1631496600,18.01,80.1,0.001,2.336,44.48,0,974,0,0,0,0,0,0,0,0,0,0,0
1631497200,17.99,80.1,0.001,1.943,33.6,0,974,0,0,0,0,0,0,0,0,0,0,0
1631497800,17.93,80.4,0.001,1.963,38.87,0,974,0,0,0,0,0,0,0,0,0,0,0
1631498400,17.68,81.3,0.001,1.992,42.13,0,974,0,0,0,0,0,0,0,0,0,0,0
1631499000,17.65,80.5,0.001,2.291,34.17,0,974,0,0,0,0,0,0,0,0,0,0,0
1631499600,17.54,82.5,0.001,2.074,27.57,0,974,0,0,0,0,0,0,0,0,0,0,0
1631500200,17.48,81.2,0.001,1.755,29.35,0,974,0,0,0,0,0,0,0,0,0,0,0
1631500800,17.45,81.3,0.001,1.8319999999999999,21.29,0,974,0,0,0,0,0,0,0,0,0,0,0
1631501400,17.45,82.7,0.001,1.806,23.24,0,974,0,0,0,0,0,0,0,0,0,0,0
1631502000,17.35,80.9,0.001,1.692,12,0,974,0,0,0,0,0,0,0,0,0,0,0
1631502600,17.32,80.5,0.001,2.075,7.848,0,974,0,0,0,0,0,0,0,0,0,0,0
