x,y,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,y11,y12,y13,y14,y15,y16,y17
1643587200,3.3789999999999996,84.9,0.001,2.167,24.18,0,980,0,0,0,0,0,0,0,0,0,0,0
1643587800,3.24,86.6,0.001,2.065,16.74,0,980,0,0,0,0,0,0,0,0,0,0,0
1643588400,3.2239999999999998,86.9,0.001,1.473,10.3,0,980,0,0,0,0,0,0,0,0,0,0,0
1643589000,3.7319999999999998,87.6,0.001,0.953,324.2,0,980,0,0,0,0,0,0,0,0,0,0,0
1643589600,4.101,86.4,0.001,1.615,315.5,0,979,0,0,0,0,0,0,0,0,0,0,0
1643590200,3.75,87.2,0.001,1.416,4.4319999999999995,0,979,0,0,0,0,0,0,0,0,0,0,0
1643590800,3.557,86.1,0.001,1.605,22.26,0,979,0,0,0,0,0,0,0,0,0,0,0
1643591400,3.102,86.8,0.001,1.351,15.21,0,979,0,0,0,0,0,0,0,0,0,0,0
1643592000,3.017,87.2,0.001,0.879,60.49,0,979,0,0,0,0,0,0,0,0,0,0,0
1643592600,3.327,86.7,0.001,1.227,40.36,0,979,0,0,0,0,0,0,0,0,0,0,0
1643593200,3.282,88.6,0.001,1.6269999999999998,354.4,0,979,0,0,0,0,0,0,0,0,0,0,0
1643593800,3.26,88.2,0.001,1.4780000000000002,38.59,0,979,0,0,0,0,0,0,0,0,0,0,0
1643594400,2.928,88.8,0.001,1.722,19.39,0,978,0,0,0,0,0,0,0,0,0,0,0
1643595000,2.946,88.6,0.001,1.8219999999999998,15.19,0,978,0,0,0,0,0,0,0,0,0,0,0
1643595600,2.917,88.4,0.001,1.6580000000000001,21.64,0,978,0,0,0,0,0,0,0,0,0,0,0
1643596200,3.437,87.1,0.002,2.254,333.7,0,978,0,0,0,0,0,0,0,0,0,0,0
1643596800,4.168,87,0.002,1.993,306.2,0,978,0,0,0,0,0,0,0,0,0,0,0
1643597400,4.363,85.8,0.001,3.988,298.8,0,978,0,0,0,0,0,0,0,0,0,0,0
1643598000,4.337,86,0.002,3.784,301.3,0,978,0,0,0,0,0,0,0,0,0,0,0
1643598600,4.289,83.6,0.001,3.34,297.3,0,979,0,0,0,0,0,0,0,0,0,0,0
1643599200,4.376,82.8,0.001,2.059,280.6,0,978,0,0,0,0,0,0,0,0,0,0,0
1643599800,4.266,83.2,0.002,2.1590000000000003,263.3,0,979,0,0,0,0,0,0,0,0,0,0,0
1643600400,4.262,84.4,0.001,1.307,244.4,0,978,0,0,0,0,0,0,0,0,0,0,0
1643601000,4.4639999999999995,84.1,0.001,3.6010000000000004,236.2,0,979,0,0,0,0,0,0,0,0,0,0,0
1643601600,4.485,83.9,0.001,5.569,235.2,0,979,0,0,0,0,0,0,0,0,0,0,0
1643602200,4.276,83.1,0.001,5.965,224.3,0,979,0,0,0,0,0,0,0,0,0,0,0
1643602800,4.395,81,0.001,7.794,220.8,0,978,0,0,0,0,0,0,0,0,0,0,0
1643603400,4.511,81.2,0.001,7.04,222.6,0,978,0,0,0,0,0,0,0,0,0,0,0
1643604000,4.92,79.47,0.002,7.317,226,0,978,0,0,0,0,0,0,0,0,0,0,0
1643604600,5.364,78.33,0.002,6.999,237.5,0,978,0,0,0,0,0,0,0,0,0,0,0
1643605200,5.707000000000001,75.49,0.001,7.307,236.5,0,978,0,0,0,0,0,0,0,0,0,0,0
1643605800,5.757000000000001,77.54,0.002,7.319,241.6,0,978,0,0,0,0,0,0,0,0,0,0,0
1643606400,5.621,79.07,0.001,6.487,251.3,0,978,0,0,0,0,0,0,0,0,0,0,0
1643607000,5.266,84.6,0.001,6.0120000000000005,274.5,0,978,0,0,0,0,0,0,0,0,0,0,0
1643607600,4.42,84.1,0.001,5.223,288.6,0,978,0,0,0,0,0,0,0,0,0,0,0
1643608200,5.043,82.3,0.001,5.005,260.8,0,979,0,0,0,0,0,0,0,0,0,0,0
1643608800,5.54,74.69,0.001,6.843,247.9,0,978,0,0,0,0,0,0,0,0,0,0,0
1643609400,5.597,73.25,0.002,5.577000000000001,260.8,0,978,0,0,0,0,0,0,0,0,0,0,0
1643610000,5.63,73.74,0.003,5.712999999999999,250.3,0,978,0,0,0,0,0,0,0,0,0,0,0
1643610600,5.835,71.45,0.006,8.33,230.2,0,978,0,0,0,0,0,0,0,0,0,0,0
1643611200,5.975,71.54,0.021,8.53,225.7,0,978,0,0,0,0,0,0,0,0,0,0,0
1643611800,6.21,70.55,0.09300000000000001,8.78,226.6,0,978,0,0,0,0,0,0,0,0,0,0,0
1643612400,6.2989999999999995,71.18,0.376,8.55,231.8,0,978,0,0,0,0,0,0,0,0,0,0,0
1643613000,6.332999999999999,71.73,0.799,7.685,246.4,0,978,0,0,0,0,0,0,0,0,0,0,0
1643613600,6.27,70.53,2.169,7.664,250,0,978,0,0,0,0,0,0,0,0,0,0,0
1643614200,6.4510000000000005,71.17,3.858,8.92,238.1,0,978,0,0,0,0,0,0,0,0,0,0,0
1643614800,6.478,71.77,6.343999999999999,8.54,232.3,0,978,0,0,0,0,0,0,0,0,0,0,0
1643615400,6.495,69.38,7.81,8.9,230.4,0,978,0,0,0,0,0,0,0,0,0,0,0
1643616000,6.534,68.01,9.24,8.09,228.2,0,978,0,0,0,0,0,0,0,0,0,0,0
1643616600,6.553999999999999,68.68,6,6.747000000000001,216.6,0,978,0,0,0,0,0,0,0,0,0,0,0
1643617200,6.547999999999999,68.93,15.3,5.604,219.7,0,978,0,0,0,0,0,0,0,0,0,0,0
1643617800,6.654,66.01,13.89,7.34,231.4,0,977,0,0,0,0,0,0,0,0,0,0,0
1643618400,6.747000000000001,69.06,16.74,7.962000000000001,240.5,0,977,0,0,0,0,0,0,0,0,0,0,0
1643619000,6.905,65.14,29.88,7.1370000000000005,240.4,0,977,0,0,0,0,0,0,0,0,0,0,0
1643619600,6.782,70.49,22.19,6.407,252.8,0,977,0,0,0,0,0,0,0,0,0,0,0
1643620200,6.551,82.1,51.86,6.202000000000001,261.4,0,977,0,0,0,0,0,0,0,0,0,0,0
1643620800,6.4239999999999995,81.1,39.71,6.962000000000001,266.7,0,977,0,0,0,0,0,0,0,0,0,0,0
1643621400,5.629,86,34.04,6.803999999999999,272.2,0,976,0,0,0,0,0,0,0,0,0,0,0
1643622000,5.0280000000000005,88.2,40.23,8.52,284.7,0,976,0,0,0,0,0,0,0,0,0,0,0
1643622600,4.968999999999999,87.6,40.23,6.247000000000001,277.1,0,976,0,0,0,0,0,0,0,0,0,0,0
1643623200,5.016,89.4,44.54,6.595,278,0,976,0,0,0,0,0,0,0,0,0,0,0
1643623800,4.99,89.8,38.55,7.169,280.7,0,976,0,0,0,0,0,0,0,0,0,0,0
1643624400,4.8919999999999995,89.9,49.21,6.619,279.1,0,976,0,0,0,0,0,0,0,0,0,0,0
1643625000,4.9319999999999995,89.3,65.85,6.892,279.4,0,976,0,0,0,0,0,0,0,0,0,0,0
1643625600,5,87.8,85.3,7.587999999999999,279.5,0,976,0,0,0,0,0,0,0,0,0,0,0
1643626200,5.172000000000001,87.3,122.9,6.848,278.5,0,976,0,0,0,0,0,0,0,0,0,0,0
