iter	Passed	Remaining
400	54481	81382
401	54673	81330
402	54826	81218
403	54918	81018
404	55094	80941
405	55215	80783
406	55404	80724
407	55474	80492
408	55682	80460
409	55780	80268
410	55911	80125
411	56008	79933
412	56164	79827
413	56263	79639
414	56389	79489
415	56492	79306
416	56642	79190
417	56725	78981
418	56815	78782
419	56918	78601
420	57066	78483
421	57164	78296
422	57306	78169
423	57435	78026
424	57572	77892
425	57697	77742
426	57873	77662
427	58011	77529
428	58179	77437
429	58263	77232
430	58400	77099
431	58517	76939
432	58631	76776
433	58737	76602
434	58903	76506
435	59047	76382
436	59184	76249
437	59316	76109
438	59470	75998
439	59596	75850
440	59743	75729
441	59905	75627
442	60048	75501
443	60219	75410
444	60401	75331
445	60630	75312
446	60809	75229
452	57807	69802
453	58091	69863
454	58153	69655
455	58332	69589
456	58527	69541
457	58742	69516
458	58878	69397
459	59038	69305
460	59162	69172
461	59271	69022
462	59370	68858
463	59512	68746
464	59669	68652
465	59809	68537
466	60087	68579
467	60344	68596
468	60445	68436
