iter	RMSE
202	0.3271072841
203	0.3264650514
204	0.3256742866
205	0.3244841629
206	0.3231643707
207	0.3223836336
208	0.3214792621
209	0.3208100138
210	0.3201626123
211	0.3192154138
212	0.3183366643
213	0.3175175675
214	0.3164518457
215	0.3154230362
216	0.3146785386
217	0.3138360705
218	0.3129061643
219	0.3118048129
220	0.3109229865
221	0.3101161705
222	0.3091678569
223	0.3082654316
224	0.3080416096
225	0.3072522968
226	0.306331551
227	0.3055633604
228	0.3048404547
229	0.3044302533
230	0.3033605147
231	0.3027848652
232	0.3022310678
233	0.3017283527
234	0.3009649336
235	0.2998684531
236	0.2991753472
237	0.2983473496
238	0.2974251647
239	0.2964948202
240	0.2955006664
241	0.2946720816
7011934
2	0.2888572055
243	0.2881741574
244	0.2878014437
245	0.2870755343
246	0.2865137671
247	0.2859226318
248	0.2854362095
249	0.2849612729
250	0.284337155
251	0.2838026102
252	0.2833812443
253	0.2829897698
254	0.2824949905
255	0.2818950014
256	0.2815638424
257	0.2810131779
258	0.2807514741
259	0.2803699199
260	0.2801120296
261	0.27939154
262	0.2785177818
263	0.2779093769
264	0.2774387371
265	0.2769951923
266	0.2763415218
267	0.2758112556
268	0.2756152086
269	0.2752514096
270	0.2747421548
271	0.2741113287
272	0.2735778885
273	0.2731602192
274	0.2726688381
275	0.2720781288
276	0.2711771369
277	0.270862691
278	0.2705110761
279	0.2700796421
280	0.269472545
281	0.2691923426
282	0.2687974098
283	0.2681763172
284	0.2676986229
285	0.2672467286
286	0.2668045377
287	0.2664419246
288	0.2660709789
289	0.2657966933
290	0.2653969551
291	0.2650829854
292	0.2646264228
293	0.264195884
294	0.2637942245
295	0.2633765113
296	0.2631263591
297	0.26277042
298	0.2622620548
299	0.2617799949
300	0.2613933222
301	0.2609431499
302	0.2606454408
303	0.2602165892
304	0.2598216273
305	0.2593687013
306	0.2590825026
307	0.2587903529
308	0.2581894328
309	0.2576984687
310	0.2570232359
311	0.2566032744
312	0.2561678612
313	0.2557040196
314	0.2553453342
315	0.2549402397
316	0.2547327697
317	0.2542468292
318	0.2537671292
319	0.2533339236
320	0.2527908298
321	0.2524446909
322	0.2518525037
323	0.2515273212
324	0.2511512121
325	0.2508345938
326	0.2504139116
327	0.2498894256
328	0.2495037914
329	0.249164236
330	0.248882949
331	0.2484187447
332	0.247824891
333	0.2473580823
334	0.246994786
335	0.2466807658
336	0.2462207405
337	0.2458738112
338	0.2454550981
339	0.2450417356
340	0.2445810789
341	0.244111821
342	0.2436696977
343	0.2435138226
344	0.2431345006
345	0.2428046926
346	0.2424261856
347	0.2420643196
348	0.241721336
349	0.2414530414
350	0.2411647428
351	0.2409106224
352	0.2404359643
353	0.240137077
354	0.2398152318
355	0.2394007876
356	0.2391434303
357	0.2388233416
358	0.2384140854
359	0.2381278317
360	0.2377455481
361	0.2374498581
362	0.2371242704
363	0.2365005657
364	0.2361215372
365	0.2357178042
366	0.2352438282
367	0.2349707604
368	0.2345492517
369	0.2342450901
370	0.2339242087
371	0.2336919203
372	0.2333467894
373	0.2328497044
374	0.2325937706
375	0.2322336789
376	0.2319119321
377	0.231711468
378	0.2313450815
379	0.2310458306
380	0.2307304167
381	0.2304458286
382	0.2301087151
383	0.2298213728
384	0.2296452674
385	0.2291010064
386	0.228737481
387	0.228040322
388	0.2277801909
389	0.2275384693
390	0.2273359984
391	0.226974469
392	0.2265754419
393	0.2263583027
394	0.2260210142
395	0.2255796273
396	0.2253472974
397	0.2248803201
398	0.2245297285
399	0.2242227817
400	0.2238816069
401	0.2235960194
402	0.2232776134
403	0.2229707389
404	0.2226258656
405	0.2223942614
406	0.2221832314
407	0.2218421956
408	0.2216191967
409	0.2213135483
410	0.2210052417
411	0.2206318738
412	0.220327519
413	0.2196878938
414	0.2193167437
415	0.2190679754
416	0.2188327373
417	0.2184485484
418	0.2181126827
419	0.2178421038
420	0.2176828583
421	0.2174940254
422	0.2171376692
423	0.2168661628
424	0.2166152017
425	0.2161599804
426	0.215950786
427	0.2155710085
428	0.2153613955
429	0.2150696104
430	0.2147027722
431	0.2143980614
432	0.2141625031
433	0.2139509722
434	0.2136377615
435	0.2131960733
436	0.2128107516
437	0.2125674148
438	0.2122203765
439	0.2119570375
440	0.2117445106
441	0.2115296183
442	0.21123655
443	0.2109751968
444	0.2107131081
445	0.2104557285
446	0.210094772
7	0.2900728439
448	0.2894486557
449	0.28893551
450	0.2886604772
451	0.2882295208
452	0.2878303594
453	0.2874308107
454	0.2870318382
455	0.286723778
456	0.2863054806
457	0.2858992664
458	0.2851897564
459	0.2848299976
460	0.2844936482
461	0.2838713507
462	0.28368574
463	0.2834668868
464	0.2830895686
465	0.2827028719
466	0.2823219173
467	0.2820966262
468	0.281722562
