bulk_temp,skin_temp,air_temp,precipitation,windspeed,solar_W,rel_humidity,air_pressure
-0.272690581281176,-0.3298143053898785,-0.7891692514041413,0.0,-0.09404476981557078,0.572177617565132,0.6775381378221992,0.0
-0.26955715255737833,-0.36020258295526597,-0.7216866459887669,0.0,-0.35759538223285936,1.005407176798296,0.47238295633876914,0.0
-0.26534251863448927,-0.3287779735158158,-0.621175287115433,0.0,-0.7230747571448682,1.2577420940521056,0.17832719621251972,0.0
-0.2637435730310665,-0.3054159126620788,-0.6151395758236231,0.0,-0.15148528790651833,0.8972636408323776,0.30931088900578685,0.0
-0.2653086169149616,-0.2950195530165123,-0.6009724201525694,0.0,-0.09573419681824577,1.0231033917745371,0.31457127827459247,0.0
-0.2656678853206098,-0.32527456376001973,-0.5692849358705675,0.0,-0.31817541883711103,0.48874324102900213,0.15623356128353488,0.0
-0.2660164963859595,-0.3308747927224021,-0.5561237320814821,0.0,-0.35083767422215967,0.17696214976241195,0.18306154655444518,0.0
-0.26684393720682203,-0.34613589850453996,-0.5948528795372622,0.0,-0.5851048852597494,0.0,0.30931088900578685,0.0
-0.2675711630483328,-0.3598456450409029,-0.755805180652192,0.0,-0.3728002252569337,0.0,0.6827985270910047,0.0
-0.2710969518325026,-0.3423295159244272,-0.8013245033112584,0.0,-0.2641137547515134,0.0,0.7406628090478693,0.0
-0.26825022650404784,-0.32183210453400424,-0.7631821611199598,0.0,-0.3316908348585105,0.0,0.6880589163598103,0.0
-0.26391789442513813,-0.29933081411598284,-0.7112079805515968,0.0,-0.29621286780233697,0.0,0.7196212519726461,0.0
-0.2617678393097565,-0.28918100910950684,-0.6947774331461146,0.0,-0.38349992960720813,0.0,0.7248816412414517,0.0
-0.2629445530426115,-0.2858325948315928,-0.7159024226674491,0.0,-0.15261157257496827,0.0,0.7827459231983169,0.0
-0.2617640592276757,-0.28564908384846566,-0.7313270181909634,0.0,-0.21061523300014073,0.0,0.8090478695423464,0.0
-0.26381899020303307,-0.2846859824733412,-0.7930254002850198,0.0,0.2719977474306633,0.0,0.8090478695423464,0.0
-0.2657952426879073,-0.29981166625955075,-0.8194316371866879,0.0,0.03941996339574831,0.0,0.866912151499211,0.0
