x,datetime,bulk_temp,skin_temp,air_temp,precipitation,windspeed,solar_W,rel_humidity,air_pressure,Quality
1481259600.0,2016-12-09 06:00:00,9.002466971569751,8.012481305197753,0.965,0.0,1.491,0.0,96.7,0.0,0
1481263200.0,2016-12-09 07:00:00,8.973538518921751,7.99056747389452,1.602,0.0,1.318,0.0,95.7,0.0,0
1481266800.0,2016-12-09 08:00:00,8.977977574911478,7.97946546435171,1.085,0.0,1.636,0.0,96.6,0.0,0
1481270400.0,2016-12-09 09:00:00,8.99596856993295,7.9241488315389255,0.857,0.0,1.378,1.032,97.2,0.0,0
1481274000.0,2016-12-09 10:00:00,9.01333840877882,7.858775690064783,0.8109999999999999,0.0,1.3969999999999998,20.38,94.5,0.0,0
1481277600.0,2016-12-09 11:00:00,9.037246717570214,7.851143062046394,0.6459999999999999,0.0,1.664,57.65,96.0,0.0,0
1481281200.0,2016-12-09 12:00:00,9.063111746211248,7.905085911700485,1.175,0.0,1.656,132.7,92.1,0.0,0
1481284800.0,2016-12-09 13:00:00,9.06134978246705,7.903651383339659,2.044,0.0,0.716,115.5,90.1,0.0,0
1481288400.0,2016-12-09 14:00:00,9.078723926502313,7.878040421837214,2.145,0.0,0.987,108.7,89.1,0.0,0
1481292000.0,2016-12-09 15:00:00,9.14432567892472,7.772210874326505,2.28,0.0,0.787,119.8,88.4,0.0,0
1481295600.0,2016-12-09 16:00:00,9.15867423577614,7.969491416830913,2.6910000000000003,0.0,0.997,58.67,88.5,0.0,0
1481299200.0,2016-12-09 17:00:00,9.124086639482199,8.06041407392518,2.438,0.0,1.32,22.68,89.7,0.0,0
1481302800.0,2016-12-09 18:00:00,9.106305516808613,7.88429203157562,2.447,0.0,0.868,0.0,90.2,0.0,0
1481306400.0,2016-12-09 19:00:00,9.07092591517693,7.756548022204199,2.0340000000000003,0.0,1.164,0.0,92.9,0.0,0
1481310000.0,2016-12-09 20:00:00,9.055999876900009,7.920143456979856,2.045,0.0,1.247,0.0,93.5,0.0,0
1481313600.0,2016-12-09 21:00:00,9.081738063234784,8.096372850934536,2.086,0.0,1.262,0.0,94.2,0.0,0
1481317200.0,2016-12-09 22:00:00,9.046419410462374,8.083340383798138,1.76,0.0,1.347,0.0,95.7,0.0,0
1481320800.0,2016-12-09 23:00:00,8.98808973151318,8.046882124230494,1.815,0.0,1.203,0.0,95.1,0.0,0
1481324400.0,2016-12-10 00:00:00,8.984146764075126,8.127214449706946,1.948,0.0,1.283,0.0,95.2,0.0,0
1481328000.0,2016-12-10 01:00:00,8.97205995612199,8.14547993638456,1.5590000000000002,0.0,1.4409999999999998,0.0,96.9,0.0,0
1481331600.0,2016-12-10 02:00:00,8.92803560180821,8.030796657074557,1.444,0.0,0.905,0.0,97.0,0.0,0
1481335200.0,2016-12-10 03:00:00,8.924401796557204,7.952925522505555,0.846,0.0,1.516,0.0,97.7,0.0,0
1481338800.0,2016-12-10 04:00:00,8.928828703347541,7.915231303471831,0.6779999999999999,0.0,1.181,0.0,97.8,0.0,0
1481342400.0,2016-12-10 05:00:00,8.929047335584947,7.915549250410631,0.614,0.0,1.455,0.0,97.8,0.0,0
1481346000.0,2016-12-10 06:00:00,8.914922738743039,7.848996540127182,0.449,0.0,1.514,0.0,98.4,0.0,0
1481349600.0,2016-12-10 07:00:00,8.940484623446073,7.812140438796099,0.2239999999999999,0.0,1.464,0.0,98.5,0.0,0
1481353200.0,2016-12-10 08:00:00,8.946258491010223,7.7303985788530705,0.166,0.0,1.345,0.0,98.4,0.0,0
1481356800.0,2016-12-10 09:00:00,8.96090735172706,7.695529807966783,0.063,0.0,1.22,0.204,98.2,0.0,0
1481360400.0,2016-12-10 10:00:00,8.96947670724412,7.6706794085927,-0.087,0.0,1.214,16.21,98.5,0.0,0
1481364000.0,2016-12-10 11:00:00,8.98376769627506,7.783413968698274,0.038,0.0,1.079,46.91,97.9,0.0,0
1481367600.0,2016-12-10 12:00:00,8.995409010286016,7.743348725311323,0.263,0.0,1.012,78.8,95.4,0.0,0
1481371200.0,2016-12-10 13:00:00,8.968228968688694,7.655571229037181,0.8109999999999999,0.0,0.768,79.39,92.7,0.0,0
1481374800.0,2016-12-10 14:00:00,9.020966364397072,7.837870305035362,1.214,0.0,0.672,114.8,92.4,0.0,0
1481378400.0,2016-12-10 15:00:00,9.063518448368365,7.763698879652264,1.346,0.0,1.308,109.1,91.6,0.0,0
1481382000.0,2016-12-10 16:00:00,9.084186806118467,7.762603151856199,1.281,0.0,1.31,70.73,92.3,0.0,0
1481385600.0,2016-12-10 17:00:00,9.098798325897873,7.770110512513184,1.425,0.0,0.821,19.79,92.6,0.0,0
1481389200.0,2016-12-10 18:00:00,9.114951261262087,7.812278304074661,1.402,0.0,1.157,0.0,93.8,0.0,0
1481392800.0,2016-12-10 19:00:00,9.073449305399018,7.767174556343272,1.329,0.0,0.999,0.0,95.1,0.0,0
1481396400.0,2016-12-10 20:00:00,9.087068924556279,7.8424301079230005,1.032,0.0,1.379,0.0,97.1,0.0,0
1481400000.0,2016-12-10 21:00:00,9.087968159902312,7.908187129574284,1.13,0.0,0.762,0.0,96.3,0.0,0
1481403600.0,2016-12-10 22:00:00,9.048885915069839,8.006614652514262,1.347,0.0,0.722,0.0,94.6,0.0,0
1481407200.0,2016-12-10 23:00:00,9.029979560146353,7.946016475322188,0.936,0.0,1.4269999999999998,0.0,95.8,0.0,0
1481410800.0,2016-12-11 00:00:00,9.029649751082422,7.917283260785875,0.8079999999999999,0.0,1.5219999999999998,0.0,95.8,0.0,0
1481414400.0,2016-12-11 01:00:00,9.029783287845484,7.972354807282263,1.034,0.0,1.253,0.0,95.2,0.0,0
1481418000.0,2016-12-11 02:00:00,9.011969805631619,7.964770925194131,0.768,0.0,1.287,0.0,96.2,0.0,0
1481421600.0,2016-12-11 03:00:00,8.969227315824797,7.965078742508921,0.432,0.0,1.362,0.0,96.9,0.0,0
1481425200.0,2016-12-11 04:00:00,8.933423145882001,7.8633000272899745,0.049,0.0,1.5619999999999998,0.0,96.9,0.0,0
1481428800.0,2016-12-11 05:00:00,8.973763069523946,7.670227958589958,-0.171,0.0,1.3330000000000002,0.0,98.3,0.0,0
1481432400.0,2016-12-11 06:00:00,8.945824585033948,7.685863426433832,0.405,0.0,1.324,0.0,99.1,0.0,0
1481436000.0,2016-12-11 07:00:00,8.911476673578948,7.654398339691404,-0.251,0.0,1.391,0.0,99.2,0.0,0
1481439600.0,2016-12-11 08:00:00,8.900426590551243,7.668282728077911,-0.043,0.0,1.558,0.0,99.3,0.0,0
1481443200.0,2016-12-11 09:00:00,8.884977370331802,7.614509023844251,-0.132,0.0,1.654,0.949,98.2,0.0,0
1481446800.0,2016-12-11 10:00:00,8.867528198046715,7.690379954008663,0.6859999999999999,0.0,1.0490000000000002,22.58,93.0,0.0,0
1481450400.0,2016-12-11 11:00:00,8.905853788938025,7.815596654808106,1.215,0.0,1.178,49.6,94.8,0.0,0
1481454000.0,2016-12-11 12:00:00,8.922393912593506,7.826243629904878,1.021,0.0,1.368,104.7,95.7,0.0,0
1481457600.0,2016-12-11 13:00:00,9.00151310918091,7.8702579671912645,1.207,0.0,1.0,159.5,95.2,0.0,0
1481461200.0,2016-12-11 14:00:00,9.022609010556264,7.9898178187503275,1.405,0.0,1.452,72.02,95.4,0.0,0
1481464800.0,2016-12-11 15:00:00,9.075543641798527,7.963387571183335,1.985,0.0,1.065,72.86,93.2,0.0,0
1481468400.0,2016-12-11 16:00:00,9.09446724001985,7.725647730306492,2.775,0.0,0.85,190.3,90.8,0.0,0
1481472000.0,2016-12-11 17:00:00,9.095595808228024,7.82423650985714,3.853,0.0,0.73,28.95,87.0,0.0,0
1481475600.0,2016-12-11 18:00:00,9.071787338513074,7.50980015901983,3.519,0.0,0.695,0.0,89.4,0.0,0
1481479200.0,2016-12-11 19:00:00,9.056967968380645,7.184942689831921,1.653,0.0,1.202,0.0,94.8,0.0,0
1481482800.0,2016-12-11 20:00:00,9.036136605459149,7.21691706282488,0.8270000000000001,0.0,1.5530000000000002,0.0,95.5,0.0,0
1481486400.0,2016-12-11 21:00:00,9.007164933832719,7.139038365813686,0.495,0.0,1.405,0.0,95.3,0.0,0
1481490000.0,2016-12-11 22:00:00,8.955957367194898,7.261733389868354,0.416,0.0,1.518,0.0,94.8,0.0,0
1481493600.0,2016-12-11 23:00:00,8.982652820662429,7.510430098807845,0.3429999999999999,0.0,1.521,0.0,94.2,0.0,0
1481497200.0,2016-12-12 00:00:00,8.975505788700776,7.46507370501799,0.478,0.0,1.244,0.0,94.0,0.0,0
1481500800.0,2016-12-12 01:00:00,8.963240195809815,7.5624748700505,0.687,0.0,1.336,0.0,96.3,0.0,0
1481504400.0,2016-12-12 02:00:00,8.946439042970365,7.361010034293264,0.799,0.0,1.243,0.0,98.5,0.0,0
