y2,y3,x,y,y1,y4
0,0,1659909600,20.9,,1
0,0,1659909900,20.7,,1
0,0,1659910200,20.79,,1
0,0,1659910500,20.79,,1
0,0,1659910800,20.82,,1
0,0,1659911100,20.85,,1
0,0,1659911400,20.8,,1
0,0,1659911700,20.82,,1
0,0,1659912000,20.85,,1
0,0,1659912300,20.98,,1
0,0,1659912600,20.85,,1
0,0,1659912900,20.91,,1
0,0,1659913200,21.07,,1
0,0,1659913500,20.94,,1
0,0,1659913800,20.96,,1
0,0,1659914100,21.01,,1
0,0,1659914400,20.97,,1
0,0,1659914700,21,,1
0,0,1659915000,20.72,,1
0,0,1659915300,20.8,,1
0,0,1659915600,20.69,,1
0,0,1659915900,20.83,,1
0,0,1659916200,20.78,,1
0,0,1659916500,20.74,,1
0,0,1659916800,20.81,,1
0,0,1659917100,20.92,,1
0,0,1659917400,20.82,,1
0,0,1659917700,20.72,,1
0,0,1659918000,20.71,,1
0,0,1659918300,20.66,,1
0,0,1659918600,20.62,,1
0,0,1659918900,20.54,,1
0,0,1659919200,20.65,,1
0,0,1659919500,20.56,,1
0,0,1659919800,20.31,,1
0,0,1659920100,20.26,,1
0,0,1659920400,20.23,,1
0,0,1659920700,20.21,,1
0,0,1659921000,20.05,,1
0,0,1659921300,20.05,,1
0,0,1659921600,20.11,,1
0,0,1659921900,20.12,,1
0,0,1659922200,20.1,,1
0,0,1659922500,19.96,,1
0,0,1659922800,20.14,,1
0,0,1659923100,20.08,,1
0,0,1659923400,19.87,,1
0,0,1659923700,20.14,,1
0,0,1659924000,20.23,,1
0,0,1659924300,20.08,,1
0,0,1659924600,19.94,,1
0,0,1659924900,20.13,,1
0,0,1659925200,20.04,,1
0,0,1659925500,19.95,,1
0,0,1659925800,20.05,,1
0,0,1659926100,19.84,,1
0,0,1659926400,19.94,,1
0,0,1659926700,19.93,,1
0,0,1659927000,19.99,,1
0,0,1659927300,19.85,,1
0,0,1659927600,19.89,,1
0,0,1659927900,19.98,,1
0,0,1659928200,20,,1
0,0,1659928500,20.07,,1
0,0,1659928800,20.34,,1
0,0,1659929100,20.32,,1
0,0,1659929400,20.49,,1
0,0,1659929700,20.7,,1
0,0,1659930000,20.69,,1
